horizon_years,target_variable,feature_name,importance
1 Year,gdp_pc_growth_1y_fwd,investment_gdp,129.4
1 Year,gdp_pc_growth_1y_fwd,gdp_pc_lag5,119.2
1 Year,gdp_pc_growth_1y_fwd,inflation_rate,112.4
1 Year,gdp_pc_growth_1y_fwd,exports_gdp,93.8
1 Year,gdp_pc_growth_1y_fwd,gov_deficit_gdp,75.6
1 Year,gdp_pc_growth_1y_fwd,gdp_pc_lag1,60.0
1 Year,gdp_pc_growth_1y_fwd,gov_debt_gdp,53.2
1 Year,gdp_pc_growth_1y_fwd,current_account_gdp,51.6
1 Year,gdp_pc_growth_1y_fwd,unemployment_rate,46.6
1 Year,gdp_pc_growth_1y_fwd,gov_debt_gdp_lag1,46.4
1 Year,gdp_pc_growth_1y_fwd,protest_unrest_annual_sum,39.6
1 Year,gdp_pc_growth_1y_fwd,conflict_intensity_annual_mean,33.0
1 Year,gdp_pc_growth_1y_fwd,news_tone_annual_mean_lag1,33.0
1 Year,gdp_pc_growth_1y_fwd,inflation_rate_lag1,32.8
1 Year,gdp_pc_growth_1y_fwd,material_conflict_annual_sum,25.2
1 Year,gdp_pc_growth_1y_fwd,goldstein_annual_mean_lag5,25.0
1 Year,gdp_pc_growth_1y_fwd,news_tone_annual_mean_lag5,21.2
1 Year,gdp_pc_growth_1y_fwd,news_tone_annual_mean,21.2
1 Year,gdp_pc_growth_1y_fwd,goldstein_annual_mean_lag1,20.8
1 Year,gdp_pc_growth_1y_fwd,material_conflict_annual_sum_lag5,17.4
1 Year,gdp_pc_growth_1y_fwd,stability_momentum_annual_mean,16.6
1 Year,gdp_pc_growth_1y_fwd,banking_crisis,15.6
1 Year,gdp_pc_growth_1y_fwd,goldstein_annual_mean,10.2
1 Year,gdp_pc_growth_1y_fwd,material_conflict_annual_sum_lag1,8.0
1 Year,gdp_pc_growth_1y_fwd,sov_debt_crisis,6.2
1 Year,gdp_pc_growth_1y_fwd,currency_crisis,0.6
5 Year,gdp_pc_growth_5y_fwd,gdp_pc_lag5,159.0
5 Year,gdp_pc_growth_5y_fwd,gdp_pc_lag1,93.8
5 Year,gdp_pc_growth_5y_fwd,investment_gdp,88.8
