horizon,fold,n_test,mae_eco,mae_uniform,mae_meta_reg_hard,mae_meta_reg_soft,mae_hybrid_calibrated,mae_oracle,dm_stat_hybrid,dm_p_hybrid
1,0,652,0.040879123363380704,0.040660953246359294,0.04076564355712428,0.04076893236437126,0.040898364037275314,0.037711124994311715,-0.23812273502134848,0.8117859018341549
1,1,667,0.01799503719619481,0.017838212018505772,0.017904756111042353,0.017896348436009426,0.017924215644598007,0.01515967788111262,0.014111979081700468,0.9887406434825468
1,2,661,0.019798548048635834,0.019821061618856148,0.019864667129913898,0.019863597172028312,0.019940977916121483,0.016422493990465022,-0.9559274306615988,0.33910889931230637
1,3,668,0.030981886921841312,0.03127916778203726,0.03165670345260591,0.031658427226997986,0.031526900827884674,0.027480807409795978,-3.5412363088527172,0.0003982567178635321
1,4,666,0.023190261132043696,0.022988127528518493,0.02299817297972223,0.02298308664305696,0.02320706471800804,0.019359159457330556,-0.01773218288901852,0.985852506447535
3,0,495,0.06920719907512883,0.06868962225814186,0.06833169820210165,0.0683383962804,0.06863287091255188,0.06103225656822849,1.25145105195049,0.21076996132711834
3,1,663,0.058811521783799496,0.05851509721207634,0.0590180277295989,0.05902203014667823,0.05898185819387436,0.05091109810222772,-2.34929063172041,0.01880921891504994
3,2,665,0.050265559695791426,0.04940365691010534,0.05032925362316501,0.05033519033962657,0.05018370598554611,0.04121741371980209,-1.0968630630853748,0.2727012575535648
3,3,668,0.061030312896579286,0.061138893107778085,0.06175900233274354,0.06178419195377422,0.06119580194354057,0.05207556678388206,-0.7645216559972332,0.44455643635827613
3,4,666,0.062469678837862905,0.060264264503231385,0.061292831892689414,0.06135669428680887,0.06198631599545479,0.04908271457372287,1.54971359466832,0.12121027369908943
5,0,166,0.06262194702911641,0.061731941713976904,0.0630685244979252,0.06317482435448792,0.06218905746936798,0.052330619094185765,-0.5785333902537777,0.5629040609933578
5,1,665,0.09099588461655883,0.089712521484636,0.09008582572724314,0.09010986863798486,0.0908798798918724,0.07759022271685215,0.09128636180470694,0.9272650544433416
5,2,666,0.07831264848743699,0.07608885167747151,0.07690713980109623,0.07686112060686721,0.07732541859149933,0.06280006315414696,-0.11495710006911321,0.9084791257269176
5,3,668,0.08317160119445463,0.08233994781890931,0.08261253354812943,0.08262513422897731,0.08207064121961594,0.0682822583003918,1.7193472058409143,0.0855511691938664
5,4,666,0.08460924948161368,0.08313452734814553,0.08582697810616856,0.08592225769974018,0.08468243479728699,0.06490332017163529,0.8881196242837978,0.3744764075878706
