horizon,fold,n_test,mae_eco,mae_uniform,mae_meta_soft,mae_meta_hard,mae_sharpened_llm,mae_calibrated_hybrid,mae_oracle,dm_stat_hybrid,dm_p_hybrid
1,0,652,0.040879123363380704,0.040660953246359294,0.04065746904819695,0.04049927801655946,0.040875801141983824,0.040396176278591156,0.037711124994311715,2.960944604767136,0.0030669709667587863
1,1,667,0.01799503719619481,0.017838212018505772,0.01796095678791957,0.017945817195561563,0.018009159551490624,0.017919333651661873,0.01515967788111262,-1.3758017717571438,0.16888301278171358
1,2,661,0.019798548048635834,0.019821061618856148,0.020125280487890976,0.020245354885253083,0.019788205305183017,0.020298443734645844,0.016422493990465022,-2.275570903348187,0.022871704479118682
1,3,668,0.030981886921841312,0.03127916778203726,0.031629148763898926,0.032203807113201456,0.03099113113707082,0.032234564423561096,0.027480807409795978,-4.226501869932663,2.3735230041843636e-05
1,4,666,0.023190261132043696,0.022988127528518493,0.023137904758428203,0.02292696688213127,0.023196498649085236,0.022928237915039062,0.019359159457330556,1.9585817875801916,0.05016178418641526
3,0,495,0.06920719907512883,0.06868962225814186,0.0687348495662309,0.06799460379791215,0.06926596224004339,0.06799732893705368,0.06103225656822849,2.504122265635311,0.012275560533955288
3,1,663,0.058811521783799496,0.05851509721207634,0.05895719985757503,0.05937553577981319,0.05883541881875588,0.0593608096241951,0.05091109810222772,-1.401841593988227,0.16096255468126897
3,2,665,0.050265559695791426,0.04940365691010534,0.05003169841898793,0.04970463659841238,0.05026670009220256,0.0496504008769989,0.04121741371980209,-0.1259059350243671,0.8998063845961044
3,3,668,0.061030312896579286,0.061138893107778085,0.0622906305264242,0.06342929665523309,0.06104508011245346,0.06346119195222855,0.05207556678388206,-2.6638894290148905,0.00772429475012415
3,4,666,0.062469678837862905,0.060264264503231385,0.06085085956102957,0.0598054552335718,0.06243872424576657,0.05951179936528206,0.04908271457372287,3.323256648596064,0.0008897301472277075
5,0,166,0.06262194702911641,0.061731941713976904,0.062478747743312996,0.06288280486332791,0.06265474456921492,0.06291927397251129,0.052330619094185765,-0.049677209556422096,0.9603796181701092
5,1,665,0.09099588461655883,0.089712521484636,0.0902581547358629,0.08905619710110119,0.09101170507897262,0.0892259031534195,0.07759022271685215,2.1802164056961733,0.029241424085565404
5,2,666,0.07831264848743699,0.07608885167747151,0.07701160030629312,0.07622568645964103,0.07821128050871877,0.07636354118585587,0.06280006315414696,1.223031230440714,0.22131790079276836
5,3,668,0.08317160119445463,0.08233994781890931,0.0837411994195085,0.08277073988602135,0.08310019027445205,0.08318261802196503,0.0682822583003918,0.5337873085864321,0.5934886954449916
5,4,666,0.08460924948161368,0.08313452734814553,0.08557995430145719,0.08469656250441387,0.08464043226342491,0.08460786938667297,0.06490332017163529,0.5286444611934963,0.5970521112894582
