economic_variable,political_variable,pearson_r,spearman_r,abs_spearman_r
unemployment_rate,protest_unrest_annual_sum,0.0433,0.1307,0.1307
unemployment_rate,sanctions_coercion_annual_sum,0.046,0.086,0.086
unemployment_rate,material_conflict_annual_sum,0.0442,0.085,0.085
unemployment_rate,verbal_conflict_annual_sum,0.0432,0.0848,0.0848
inflation_rate,news_tone_annual_mean,-0.0062,0.0832,0.0832
gov_debt_gdp,stability_momentum_annual_mean,-0.0931,-0.0778,0.0778
inflation_rate,conflict_intensity_annual_mean,-0.0566,-0.0756,0.0756
unemployment_rate,goldstein_annual_mean,-0.1134,-0.0747,0.0747
unemployment_rate,stability_momentum_annual_mean,-0.1051,-0.0724,0.0724
gov_debt_gdp,goldstein_annual_mean,-0.0808,-0.0697,0.0697
gov_debt_gdp,conflict_intensity_annual_mean,-0.0082,0.0556,0.0556
gov_debt_gdp,news_tone_annual_mean,-0.0477,-0.0552,0.0552
inflation_rate,stability_momentum_annual_mean,-0.0453,-0.045,0.045
sov_debt_crisis,protest_pressure_annual_mean,0.0445,0.0435,0.0435
inflation_rate,goldstein_annual_mean,-0.0358,-0.0427,0.0427
inflation_rate,protest_unrest_annual_sum,0.0216,0.0333,0.0333
gdp_pc_growth_1y_fwd,news_tone_annual_mean,0.0307,0.032,0.032
sov_debt_crisis,protest_unrest_annual_sum,0.0344,0.0317,0.0317
sov_debt_crisis,conflict_intensity_annual_mean,-0.026,-0.0313,0.0313
unemployment_rate,conflict_intensity_annual_mean,-0.0354,-0.0292,0.0292
currency_crisis,news_tone_annual_mean,0.0252,0.025,0.025
currency_crisis,conflict_intensity_annual_mean,-0.0185,-0.0246,0.0246
banking_crisis,conflict_intensity_annual_mean,-0.0266,-0.0221,0.0221
gdp_pc_growth_1y_fwd,protest_pressure_annual_mean,-0.0402,-0.0221,0.0221
gov_debt_gdp,verbal_conflict_annual_sum,-0.0175,0.0209,0.0209
gov_debt_gdp,material_conflict_annual_sum,-0.0168,0.0208,0.0208
gdp_pc_growth_1y_fwd,stability_momentum_annual_mean,0.0161,0.0207,0.0207
gov_debt_gdp,sanctions_coercion_annual_sum,-0.0173,0.0205,0.0205
inflation_rate,sanctions_coercion_annual_sum,-0.0241,-0.0185,0.0185
inflation_rate,verbal_conflict_annual_sum,-0.0249,-0.0177,0.0177
inflation_rate,material_conflict_annual_sum,-0.0249,-0.0174,0.0174
gdp_pc_growth_5y_fwd,conflict_intensity_annual_mean,0.044,0.017,0.017
sov_debt_crisis,goldstein_annual_mean,-0.0167,-0.017,0.017
banking_crisis,stability_momentum_annual_mean,0.0142,0.0168,0.0168
sov_debt_crisis,news_tone_annual_mean,-0.016,-0.0155,0.0155
banking_crisis,goldstein_annual_mean,0.015,0.0153,0.0153
sov_debt_crisis,stability_momentum_annual_mean,-0.0141,-0.0148,0.0148
banking_crisis,verbal_conflict_annual_sum,-0.0169,-0.0139,0.0139
banking_crisis,material_conflict_annual_sum,-0.017,-0.0137,0.0137
banking_crisis,sanctions_coercion_annual_sum,-0.0173,-0.0132,0.0132
gdp_pc_growth_1y_fwd,goldstein_annual_mean,0.0133,0.0128,0.0128
currency_crisis,protest_unrest_annual_sum,0.0189,0.0123,0.0123
gdp_pc_growth_5y_fwd,goldstein_annual_mean,-0.0166,-0.012,0.012
currency_crisis,stability_momentum_annual_mean,-0.0104,-0.011,0.011
gdp_pc_growth_5y_fwd,protest_unrest_annual_sum,-0.0379,-0.0104,0.0104
gdp_pc_growth_5y_fwd,protest_pressure_annual_mean,-0.0238,-0.0096,0.0096
gov_debt_gdp,protest_pressure_annual_mean,-0.0109,-0.0085,0.0085
unemployment_rate,protest_pressure_annual_mean,0.0064,0.0082,0.0082
sov_debt_crisis,sanctions_coercion_annual_sum,0.0058,0.0079,0.0079
currency_crisis,protest_pressure_annual_mean,-0.0009,0.0072,0.0072
gdp_pc_growth_1y_fwd,conflict_intensity_annual_mean,0.0219,-0.0068,0.0068
banking_crisis,news_tone_annual_mean,-0.0062,-0.0064,0.0064
sov_debt_crisis,verbal_conflict_annual_sum,0.0049,0.0057,0.0057
sov_debt_crisis,material_conflict_annual_sum,0.0047,0.0056,0.0056
gdp_pc_growth_1y_fwd,material_conflict_annual_sum,-0.03,-0.0052,0.0052
banking_crisis,protest_pressure_annual_mean,-0.0064,-0.0049,0.0049
gdp_pc_growth_1y_fwd,verbal_conflict_annual_sum,-0.0295,-0.0043,0.0043
gdp_pc_growth_1y_fwd,sanctions_coercion_annual_sum,-0.0291,-0.0043,0.0043
currency_crisis,verbal_conflict_annual_sum,-0.004,-0.0031,0.0031
currency_crisis,sanctions_coercion_annual_sum,-0.0047,-0.003,0.003
currency_crisis,material_conflict_annual_sum,-0.0038,-0.0027,0.0027
unemployment_rate,news_tone_annual_mean,0.0439,0.0026,0.0026
currency_crisis,goldstein_annual_mean,-0.0027,-0.0026,0.0026
gdp_pc_growth_5y_fwd,news_tone_annual_mean,0.0079,0.0024,0.0024
