horizon,fold,config,model,n_test,mae,rmse,dir_acc
1,0,A_EconOnly,naive_persistence,869,0.055232372134923935,0.09143320471048355,0.6121979286536249
1,0,A_EconOnly,ar1_honest,869,0.055232372134923935,0.09143320471048355,0.6121979286536249
1,0,A_EconOnly,ridge,869,0.057818423956632614,0.08964964747428894,0.5327963176064442
1,0,A_EconOnly,lgbm,869,0.05314015301627163,0.08781408535914109,0.5972382048331415
1,0,A_EconOnly,xgboost,869,0.053564783185720444,0.08724804222583771,0.6006904487917146
1,0,A_EconOnly,ensemble_lgbm_ridge_prior,869,0.05316228032142825,0.08721424948667224,0.6041426927502876
1,1,A_EconOnly,naive_persistence,876,0.03017513081431389,0.05560141056776047,0.7385844748858448
1,1,A_EconOnly,ar1_honest,876,0.03017513081431389,0.05560141056776047,0.7385844748858448
1,1,A_EconOnly,ridge,876,0.029618920758366585,0.047856926918029785,0.684931506849315
1,1,A_EconOnly,lgbm,876,0.022593611005169472,0.041903883177521146,0.7831050228310502
1,1,A_EconOnly,xgboost,876,0.02193859964609146,0.041145000606775284,0.8002283105022832
1,1,A_EconOnly,ensemble_lgbm_ridge_prior,876,0.023537303303243228,0.04203561891238443,0.7705479452054794
1,2,A_EconOnly,naive_persistence,876,0.038354407995939255,0.08010031282901764,0.7214611872146118
1,2,A_EconOnly,ar1_honest,876,0.038354407995939255,0.08010031282901764,0.7214611872146118
1,2,A_EconOnly,ridge,876,0.033023543655872345,0.05947840213775635,0.682648401826484
1,2,A_EconOnly,lgbm,876,0.026844696834199894,0.05585868695192387,0.7488584474885844
1,2,A_EconOnly,xgboost,876,0.026109883561730385,0.05474456772208214,0.7568493150684932
1,2,A_EconOnly,ensemble_lgbm_ridge_prior,876,0.027415735210419068,0.05751883778605333,0.7557077625570776
1,3,A_EconOnly,naive_persistence,874,0.04579215496778488,0.07131204754114151,0.6395881006864989
1,3,A_EconOnly,ar1_honest,874,0.04579215496778488,0.07131204754114151,0.6395881006864989
1,3,A_EconOnly,ridge,874,0.04033419117331505,0.061011314392089844,0.6075514874141876
1,3,A_EconOnly,lgbm,874,0.035239478642390826,0.056052708259498006,0.6727688787185355
1,3,A_EconOnly,xgboost,874,0.03594111278653145,0.05683973804116249,0.6670480549199085
1,3,A_EconOnly,ensemble_lgbm_ridge_prior,874,0.036532178372634644,0.058716494849191614,0.6590389016018307
1,4,A_EconOnly,naive_persistence,866,0.0374947115778923,0.07224792242050171,0.7655889145496536
1,4,A_EconOnly,ar1_honest,866,0.0374947115778923,0.07224792242050171,0.7655889145496536
1,4,A_EconOnly,ridge,866,0.037242788821458817,0.05783090367913246,0.7066974595842956
1,4,A_EconOnly,lgbm,866,0.027208208049625877,0.04689000672161884,0.8545034642032333
1,4,A_EconOnly,xgboost,866,0.027559084817767143,0.04634639993309975,0.8521939953810623
1,4,A_EconOnly,ensemble_lgbm_ridge_prior,866,0.029598913140973432,0.05142475844689997,0.8267898383371824
1,0,B_EconCrossDomain,naive_persistence,869,0.055232372134923935,0.09143320471048355,0.6121979286536249
1,0,B_EconCrossDomain,ar1_honest,869,0.055232372134923935,0.09143320471048355,0.6121979286536249
1,0,B_EconCrossDomain,ridge,869,0.05993309244513512,0.09063030034303665,0.5304948216340621
1,0,B_EconCrossDomain,lgbm,869,0.05298675856629657,0.0879458970948509,0.6144994246260069
