target_variable,feature_name,importance
gdp_pc_growth_5y_fwd,gdp_pc_real_usd_logret5,174.0
gdp_pc_growth_5y_fwd,inflation_rate,135.0
gdp_pc_growth_5y_fwd,gov_debt_gdp,129.0
gdp_pc_growth_5y_fwd,exports_gdp,121.8
gdp_pc_growth_5y_fwd,news_tone_annual_mean,120.2
gdp_pc_growth_5y_fwd,investment_gdp,107.2
gdp_pc_growth_5y_fwd,unemployment_rate,98.4
gdp_pc_growth_5y_fwd,conflict_intensity_annual_mean,91.8
gdp_pc_growth_5y_fwd,protest_unrest_annual_sum,82.6
gdp_pc_growth_5y_fwd,current_account_gdp,77.2
gdp_pc_growth_5y_fwd,gov_deficit_gdp,61.6
gdp_pc_growth_5y_fwd,stability_momentum_annual_mean,54.2
gdp_pc_growth_5y_fwd,goldstein_annual_mean,39.6
gdp_pc_growth_5y_fwd,material_conflict_annual_sum,37.4
gdp_pc_growth_5y_fwd,verbal_conflict_annual_sum,37.2
gdp_pc_growth_5y_fwd,sanctions_coercion_annual_sum,24.6
gdp_pc_growth_5y_fwd,goldstein_annual_std,5.8
gdp_pc_growth_5y_fwd,banking_crisis,1.8
gdp_pc_growth_5y_fwd,sov_debt_crisis,0.2
gdp_pc_growth_5y_fwd,currency_crisis,0.0
gdp_pc_growth_1y_fwd,gdp_pc_real_usd_logret5,221.4
gdp_pc_growth_1y_fwd,inflation_rate,209.2
gdp_pc_growth_1y_fwd,gov_debt_gdp,114.8
gdp_pc_growth_1y_fwd,investment_gdp,113.0
gdp_pc_growth_1y_fwd,exports_gdp,108.6
gdp_pc_growth_1y_fwd,news_tone_annual_mean,94.8
gdp_pc_growth_1y_fwd,current_account_gdp,86.2
gdp_pc_growth_1y_fwd,gov_deficit_gdp,84.2
gdp_pc_growth_1y_fwd,unemployment_rate,63.2
gdp_pc_growth_1y_fwd,stability_momentum_annual_mean,47.4
gdp_pc_growth_1y_fwd,conflict_intensity_annual_mean,46.8
gdp_pc_growth_1y_fwd,protest_unrest_annual_sum,43.4
gdp_pc_growth_1y_fwd,goldstein_annual_mean,34.8
gdp_pc_growth_1y_fwd,banking_crisis,33.4
gdp_pc_growth_1y_fwd,sanctions_coercion_annual_sum,25.8
gdp_pc_growth_1y_fwd,material_conflict_annual_sum,20.2
gdp_pc_growth_1y_fwd,goldstein_annual_std,16.6
gdp_pc_growth_1y_fwd,verbal_conflict_annual_sum,15.6
gdp_pc_growth_1y_fwd,sov_debt_crisis,5.8
gdp_pc_growth_1y_fwd,currency_crisis,1.8
material_conflict_annual_sum_1y_fwd,verbal_conflict_annual_sum,526.4
material_conflict_annual_sum_1y_fwd,material_conflict_annual_sum,373.4
material_conflict_annual_sum_1y_fwd,sanctions_coercion_annual_sum,106.4
material_conflict_annual_sum_1y_fwd,news_tone_annual_mean,76.0
material_conflict_annual_sum_1y_fwd,conflict_intensity_annual_mean,53.0
material_conflict_annual_sum_1y_fwd,protest_unrest_annual_sum,45.2
material_conflict_annual_sum_1y_fwd,exports_gdp,37.2
material_conflict_annual_sum_1y_fwd,gov_deficit_gdp,34.4
material_conflict_annual_sum_1y_fwd,current_account_gdp,26.2
material_conflict_annual_sum_1y_fwd,stability_momentum_annual_mean,25.8
material_conflict_annual_sum_1y_fwd,inflation_rate,19.0
material_conflict_annual_sum_1y_fwd,investment_gdp,18.4
material_conflict_annual_sum_1y_fwd,gov_debt_gdp,17.4
material_conflict_annual_sum_1y_fwd,goldstein_annual_std,14.6
material_conflict_annual_sum_1y_fwd,goldstein_annual_mean,14.4
material_conflict_annual_sum_1y_fwd,gdp_pc_real_usd_logret5,6.6
material_conflict_annual_sum_1y_fwd,unemployment_rate,5.6
material_conflict_annual_sum_1y_fwd,banking_crisis,0.0
material_conflict_annual_sum_1y_fwd,currency_crisis,0.0
material_conflict_annual_sum_1y_fwd,sov_debt_crisis,0.0
goldstein_annual_mean_1y_fwd,goldstein_annual_mean,839.6
goldstein_annual_mean_1y_fwd,goldstein_annual_std,164.6
goldstein_annual_mean_1y_fwd,news_tone_annual_mean,119.0
goldstein_annual_mean_1y_fwd,stability_momentum_annual_mean,109.4
goldstein_annual_mean_1y_fwd,inflation_rate,35.4
goldstein_annual_mean_1y_fwd,exports_gdp,26.2
goldstein_annual_mean_1y_fwd,gdp_pc_real_usd_logret5,23.4
goldstein_annual_mean_1y_fwd,current_account_gdp,16.6
goldstein_annual_mean_1y_fwd,gov_debt_gdp,12.8
goldstein_annual_mean_1y_fwd,protest_unrest_annual_sum,9.8
goldstein_annual_mean_1y_fwd,verbal_conflict_annual_sum,9.6
goldstein_annual_mean_1y_fwd,unemployment_rate,8.0
goldstein_annual_mean_1y_fwd,conflict_intensity_annual_mean,7.8
goldstein_annual_mean_1y_fwd,investment_gdp,5.2
goldstein_annual_mean_1y_fwd,gov_deficit_gdp,4.6
goldstein_annual_mean_1y_fwd,sanctions_coercion_annual_sum,4.2
goldstein_annual_mean_1y_fwd,material_conflict_annual_sum,2.6
goldstein_annual_mean_1y_fwd,banking_crisis,1.2
goldstein_annual_mean_1y_fwd,currency_crisis,0.0
goldstein_annual_mean_1y_fwd,sov_debt_crisis,0.0
