horizon,config,eco_mae,config_mae,improvement_pct
1,B_Uniform,0.02657,0.02652,0.19
1,C_RandomGate,0.02657,0.02651,0.21
1,D_HeuristicGate,0.02657,0.0265,0.25
1,E_LLMGate,0.02657,0.02653,0.13
1,F_OracleGate,0.02657,0.02323,12.58
3,B_Uniform,0.06036,0.0596,1.25
3,C_RandomGate,0.06036,0.05991,0.73
3,D_HeuristicGate,0.06036,0.05997,0.64
3,E_LLMGate,0.06036,0.06009,0.45
3,F_OracleGate,0.06036,0.05086,15.73
5,B_Uniform,0.07994,0.0786,1.68
5,C_RandomGate,0.07994,0.07914,1.0
5,D_HeuristicGate,0.07994,0.079,1.17
5,E_LLMGate,0.07994,0.07926,0.85
5,F_OracleGate,0.07994,0.06518,18.46
