horizon,config,mae_mean,mae_std,n_folds
1,A_EcoOnly,0.02656897133241932,0.009420999625578857,5
1,B_Uniform,0.02651750443885544,0.009425226080829073,5
1,C_RandomGate,0.026513132452964782,0.009401720481760358,5
1,D_HeuristicGate,0.026502036675810813,0.009414512215192308,5
1,E_LLMGate,0.026534073427319525,0.009416091858394413,5
1,F_OracleGate,0.023226652746603224,0.009410471991281314,5
3,A_EcoOnly,0.06035685445783243,0.006845956032985967,5
3,B_Uniform,0.05960230679826665,0.006902410303340136,5
3,C_RandomGate,0.05991441011428833,0.006915955932567881,5
3,D_HeuristicGate,0.059970039129257205,0.006834924020304794,5
3,E_LLMGate,0.06008731946349144,0.006862158995900049,5
3,F_OracleGate,0.050863809949572694,0.007090365970648763,5
5,A_EcoOnly,0.07994226616183615,0.010689257780904817,5
5,B_Uniform,0.07860155800862789,0.010593329573453249,5
5,C_RandomGate,0.07913931235671043,0.010608161593152744,5
5,D_HeuristicGate,0.07900470048189163,0.01057483962704143,5
5,E_LLMGate,0.0792646549642086,0.010564246117852394,5
5,F_OracleGate,0.06518129668744244,0.009144463718797404,5
