horizon,fold,n_test,eco_only_mae,uniform_mae,oracle_mae,gap_uniform_to_oracle_pct,gap_eco_to_oracle_pct,pct_oracle_chooses_non_eco,dm_oracle_vs_uniform_stat,dm_oracle_vs_uniform_p,dm_oracle_vs_eco_stat,dm_oracle_vs_eco_p,oracle_picks_eco_only,oracle_picks_eco_pol,oracle_picks_eco_env,oracle_picks_eco_human,oracle_picks_full_quad
1,0,652,0.04088,0.04066,0.03771,7.25,7.75,85.4,20.5346,0.0,15.0804,0.0,95,114,118,159,166
1,1,667,0.018,0.01784,0.01516,15.02,15.76,85.5,9.5801,0.0,9.2121,0.0,97,129,122,119,200
1,2,661,0.0198,0.01982,0.01642,17.15,17.05,85.5,13.4936,0.0,12.7605,0.0,96,143,130,148,144
1,3,668,0.03098,0.03128,0.02748,12.14,11.3,81.4,14.9085,0.0,12.207,0.0,124,134,133,151,126
1,4,666,0.02319,0.02299,0.01936,15.79,16.52,83.5,16.9933,0.0,13.9693,0.0,110,105,135,125,191
3,0,495,0.06921,0.06869,0.06103,11.15,11.81,82.0,17.8007,0.0,14.7024,0.0,89,75,75,112,144
3,1,663,0.05881,0.05852,0.05091,12.99,13.43,83.4,18.3794,0.0,13.7835,0.0,110,92,136,162,163
3,2,665,0.05027,0.0494,0.04122,16.57,18.0,86.3,15.5567,0.0,13.1502,0.0,91,129,130,138,177
3,3,668,0.06103,0.06114,0.05208,14.82,14.67,83.5,18.746,0.0,13.7672,0.0,110,144,122,126,166
3,4,666,0.06247,0.06026,0.04908,18.55,21.43,83.9,17.683,0.0,13.8974,0.0,107,97,109,174,179
5,0,166,0.06262,0.06173,0.05233,15.23,16.43,81.9,7.021,0.0,5.733,0.0,30,24,38,32,42
5,1,665,0.091,0.08971,0.07759,13.51,14.73,84.8,17.5962,0.0,13.655,0.0,101,108,150,146,160
5,2,666,0.07831,0.07609,0.0628,17.46,19.81,85.4,15.0432,0.0,12.7188,0.0,97,109,123,187,150
5,3,668,0.08317,0.08234,0.06828,17.07,17.9,84.0,17.3099,0.0,12.8025,0.0,107,118,140,141,162
5,4,666,0.08461,0.08313,0.0649,21.93,23.29,82.4,16.8738,0.0,12.3611,0.0,117,109,114,179,147
