target_variable,feature_name,importance_score,rank
gdp_pc_growth_1y_fwd,gdp_pc_growth_3y_fwd,460.0,1
gdp_pc_growth_1y_fwd,gdp_pc_real_logret5,77.6,2
gdp_pc_growth_1y_fwd,gdp_nominal_usd,35.6,3
gdp_pc_growth_1y_fwd,inflation_rate,32.6,4
gdp_pc_growth_1y_fwd,gdp_pc_growth_5y_fwd,31.4,5
gdp_pc_growth_1y_fwd,gdp_real_usd,29.8,6
gdp_pc_growth_1y_fwd,gdp_pc_real_usd_logret5,28.0,7
gdp_pc_growth_1y_fwd,gov_deficit_gdp,27.8,8
gdp_pc_growth_1y_fwd,inflation_rate_lag1,25.8,9
gdp_pc_growth_1y_fwd,goldstein_annual_std,20.2,10
gdp_pc_growth_1y_fwd,investment_gdp_delta5,19.4,11
gdp_pc_growth_1y_fwd,fixed_investment_gdp_delta5,19.0,12
gdp_pc_growth_1y_fwd,gov_consumption_gdp,18.8,13
gdp_pc_growth_1y_fwd,gdp_real,17.4,14
gdp_pc_growth_1y_fwd,exports_gdp_logret5,16.0,15
gdp_pc_growth_1y_fwd,gdp_pc_real_delta5,14.6,16
gdp_pc_growth_1y_fwd,inflation_rate_lag5,14.0,17
gdp_pc_growth_1y_fwd,fixed_investment_gdp_logret5,13.2,18
gdp_pc_growth_1y_fwd,gdp_deflator_logret5,13.2,19
gdp_pc_growth_1y_fwd,gdp_pc_real_usd_delta5,13.0,20
stability_momentum_annual_mean,conflict_intensity_annual_mean,686.0,1
stability_momentum_annual_mean,goldstein_annual_mean,684.4,2
stability_momentum_annual_mean,goldstein_annual_min,20.0,3
stability_momentum_annual_mean,goldstein_annual_std,9.2,4
stability_momentum_annual_mean,goldstein_annual_mean_1y_fwd,0.4,5
stability_momentum_annual_mean,psychology_social_cohesion_target_h1,0.0,6
stability_momentum_annual_mean,gdp_nominal_delta5,0.0,7
stability_momentum_annual_mean,inflation_rate,0.0,8
stability_momentum_annual_mean,society_religion_rank,0.0,9
stability_momentum_annual_mean,investment_gdp_roll5_mean,0.0,10
stability_momentum_annual_mean,inflation_rate_delta5,0.0,11
stability_momentum_annual_mean,household_consumption_gdp,0.0,12
stability_momentum_annual_mean,psychology_confidence_lag_1,0.0,13
stability_momentum_annual_mean,gov_debt_gdp_lag5,0.0,14
stability_momentum_annual_mean,exports_gdp_logret5,0.0,15
stability_momentum_annual_mean,floods_count_lag_1,0.0,16
stability_momentum_annual_mean,psychology_nationalism_velocity_3y,0.0,17
stability_momentum_annual_mean,banking_crisis_lag5,0.0,18
stability_momentum_annual_mean,psychology_social_cohesion_roll_mean_10y,0.0,19
stability_momentum_annual_mean,psychology_trust_velocity_3y,0.0,20
co2_emissions_per_capita,co2_emissions_per_capita_rank,582.0,1
