target_variable,configuration,oof_rmse,oof_mae,oof_r2,rmse_improvement_pct,dm_statistic,p_value,is_stat_significant
gdp_pc_growth_1y_fwd,Domain_Only,0.0316,0.021,0.4487,0.0,0.0,1.0,False
gdp_pc_growth_1y_fwd,Eco+Pol,0.0317,0.021,0.4476,-0.1,-0.021,0.9833,False
gdp_pc_growth_1y_fwd,Eco+Pol+Env,0.0317,0.021,0.4474,-0.13,-0.025,0.98,False
gdp_pc_growth_1y_fwd,Full_Quad_Domain,0.0317,0.0211,0.4463,-0.22,-0.0442,0.9648,False
stability_momentum_annual_mean,Domain_Only,0.2836,0.2034,0.9947,0.0,0.0,1.0,False
stability_momentum_annual_mean,Eco+Pol,0.2836,0.2034,0.9947,0.0,0.0,1.0,False
stability_momentum_annual_mean,Eco+Pol+Env,0.2836,0.2034,0.9947,0.0,0.0,1.0,False
stability_momentum_annual_mean,Full_Quad_Domain,0.2836,0.2034,0.9947,0.0,0.0,1.0,False
co2_emissions_per_capita,Domain_Only,1.0938,1.0028,0.4437,0.0,0.0,1.0,False
co2_emissions_per_capita,Eco+Pol,2.1648,1.8431,-1.1789,-97.91,-25.5434,0.0,True
co2_emissions_per_capita,Eco+Pol+Env,1.0932,1.0027,0.4444,0.06,1.7927,0.073,False
co2_emissions_per_capita,Full_Quad_Domain,1.1289,1.0311,0.4074,-3.21,-13.866,0.0,True
psychology_trust,Domain_Only,4.5046,2.0787,0.9724,0.0,0.0,1.0,False
psychology_trust,Eco+Pol,14.5562,10.3214,0.7114,-223.14,-18.8639,0.0,True
psychology_trust,Eco+Pol+Env,14.3547,10.1775,0.7193,-218.67,-18.9604,0.0,True
psychology_trust,Full_Quad_Domain,4.4644,2.074,0.9729,0.89,5.368,0.0,True
psychology_fear,Domain_Only,4.4428,2.1166,0.9705,0.0,0.0,1.0,False
psychology_fear,Eco+Pol,14.5438,9.932,0.6836,-227.36,-18.0169,0.0,True
psychology_fear,Eco+Pol+Env,14.4903,9.6681,0.6859,-226.16,-17.2315,0.0,True
psychology_fear,Full_Quad_Domain,4.3005,2.0997,0.9723,3.2,4.2318,0.0,True
