condition_type,target_metric,normal_period_mean,crisis_period_mean,pct_change_in_crisis
Economic Crisis (banking_crisis),disaster_economic_damage_usd,363758.4775,343715.5053,-5.51
Economic Crisis (banking_crisis),floods_count,2.5228,3.0128,19.43
Economic Crisis (banking_crisis),droughts_count,1.2307,1.2436,1.05
Economic Crisis (banking_crisis),wildfires_count,1.651,1.9615,18.81
Economic Crisis (banking_crisis),extreme_temp_count,1.203,1.2436,3.38
Economic Crisis (currency_crisis),disaster_economic_damage_usd,362594.8942,354833.3738,-2.14
Economic Crisis (currency_crisis),floods_count,2.5243,2.0826,-17.5
Economic Crisis (currency_crisis),droughts_count,1.2194,0.9633,-21.0
Economic Crisis (currency_crisis),wildfires_count,1.6516,1.2844,-22.23
Economic Crisis (currency_crisis),extreme_temp_count,1.2026,0.9817,-18.37
Economic Crisis (sov_debt_crisis),disaster_economic_damage_usd,362969.5043,339468.032,-6.47
Economic Crisis (sov_debt_crisis),floods_count,2.5104,2.1628,-13.85
Economic Crisis (sov_debt_crisis),droughts_count,1.2154,1.0,-17.72
Economic Crisis (sov_debt_crisis),wildfires_count,1.634,1.8372,12.43
Economic Crisis (sov_debt_crisis),extreme_temp_count,1.1966,1.0233,-14.49
High Climate Disaster Year (>Q90 Damage),material_conflict_annual_sum,21600.6578,21442.8934,-0.73
High Climate Disaster Year (>Q90 Damage),goldstein_annual_mean,2.6243,2.2839,-12.97
High Climate Disaster Year (>Q90 Damage),protest_unrest_annual_sum,8416.9376,8542.5925,1.49
High Climate Disaster Year (>Q90 Damage),gdp_pc_growth_1y_fwd,0.0153,0.0174,13.49
