target_variable,feature_name,importance
gdp_pc_growth_1y_fwd,gdp_pc_real_usd_logret5,208.2
gdp_pc_growth_1y_fwd,inflation_rate,189.6
gdp_pc_growth_1y_fwd,investment_gdp,119.2
gdp_pc_growth_1y_fwd,exports_gdp,101.8
gdp_pc_growth_1y_fwd,gov_debt_gdp,96.4
gdp_pc_growth_1y_fwd,current_account_gdp,83.8
gdp_pc_growth_1y_fwd,news_tone_annual_mean,80.8
gdp_pc_growth_1y_fwd,gov_deficit_gdp,77.8
gdp_pc_growth_1y_fwd,unemployment_rate,62.2
gdp_pc_growth_1y_fwd,temp_anomaly_celsius,41.8
gdp_pc_growth_1y_fwd,conflict_intensity_annual_mean,40.0
gdp_pc_growth_1y_fwd,stability_momentum_annual_mean,39.0
gdp_pc_growth_1y_fwd,protest_unrest_annual_sum,38.0
gdp_pc_growth_1y_fwd,banking_crisis,33.2
gdp_pc_growth_1y_fwd,goldstein_annual_mean,29.4
gdp_pc_growth_1y_fwd,sanctions_coercion_annual_sum,24.6
gdp_pc_growth_1y_fwd,material_conflict_annual_sum,20.0
gdp_pc_growth_1y_fwd,goldstein_annual_std,16.0
gdp_pc_growth_1y_fwd,temp_anomaly_celsius_roll_mean_10y,16.0
gdp_pc_growth_1y_fwd,verbal_conflict_annual_sum,10.2
gdp_pc_growth_1y_fwd,disaster_economic_damage_usd,7.8
gdp_pc_growth_1y_fwd,co2_emissions_per_capita,6.2
gdp_pc_growth_1y_fwd,disaster_economic_damage_usd_roll_mean_10y,6.2
gdp_pc_growth_1y_fwd,energy_use_per_capita,5.8
gdp_pc_growth_1y_fwd,sov_debt_crisis,5.8
gdp_pc_growth_1y_fwd,co2_emissions_per_capita_roll_mean_10y,4.6
gdp_pc_growth_1y_fwd,greenhouse_gas_total_kt,3.6
gdp_pc_growth_1y_fwd,renewable_energy_pct_share,3.0
gdp_pc_growth_1y_fwd,storms_count,2.4
gdp_pc_growth_1y_fwd,currency_crisis,2.0
gdp_pc_growth_1y_fwd,forest_area_pct_land,1.8
gdp_pc_growth_1y_fwd,wildfires_count,1.2
gdp_pc_growth_1y_fwd,protected_area_pct,1.0
gdp_pc_growth_1y_fwd,droughts_count,0.6
gdp_pc_growth_1y_fwd,extreme_temp_count,0.2
gdp_pc_growth_1y_fwd,floods_count,0.0
gdp_pc_growth_5y_fwd,gdp_pc_real_usd_logret5,164.4
gdp_pc_growth_5y_fwd,gov_debt_gdp,128.2
gdp_pc_growth_5y_fwd,inflation_rate,127.0
gdp_pc_growth_5y_fwd,news_tone_annual_mean,115.8
gdp_pc_growth_5y_fwd,exports_gdp,105.2
gdp_pc_growth_5y_fwd,investment_gdp,102.8
gdp_pc_growth_5y_fwd,unemployment_rate,90.2
gdp_pc_growth_5y_fwd,conflict_intensity_annual_mean,79.6
gdp_pc_growth_5y_fwd,protest_unrest_annual_sum,64.4
gdp_pc_growth_5y_fwd,current_account_gdp,57.8
gdp_pc_growth_5y_fwd,gov_deficit_gdp,52.0
gdp_pc_growth_5y_fwd,stability_momentum_annual_mean,44.2
gdp_pc_growth_5y_fwd,temp_anomaly_celsius,40.4
gdp_pc_growth_5y_fwd,verbal_conflict_annual_sum,39.4
