target_variable,feature_config,n_samples,rmse,mae,r2_score,rmse_improvement_pct,dm_stat,p_value,statistically_significant
gdp_pc_growth_1y_fwd,Domain_Only,5072,0.04103,0.02831,0.0722,0.0,0.0,1.0,False
gdp_pc_growth_1y_fwd,Eco+Pol,5072,0.04111,0.02838,0.0685,-0.2,-0.0662,0.9472,False
gdp_pc_growth_1y_fwd,Eco+Env,5072,0.04107,0.02835,0.0706,-0.09,-0.0287,0.9771,False
gdp_pc_growth_1y_fwd,Full_Tri_Domain,5072,0.04119,0.02844,0.0651,-0.38,-0.129,0.8974,False
gdp_pc_growth_5y_fwd,Domain_Only,4743,0.14575,0.10334,0.0614,0.0,0.0,1.0,False
gdp_pc_growth_5y_fwd,Eco+Pol,4743,0.14538,0.10298,0.0662,0.25,0.8005,0.4234,False
gdp_pc_growth_5y_fwd,Eco+Env,4743,0.14479,0.10216,0.0736,0.65,2.7681,0.0056,True
gdp_pc_growth_5y_fwd,Full_Tri_Domain,4743,0.14484,0.10199,0.0731,0.62,1.8173,0.0692,False
material_conflict_annual_sum_1y_fwd,Domain_Only,5268,2348.91048,1535.09869,0.9825,0.0,0.0,1.0,False
material_conflict_annual_sum_1y_fwd,Eco+Pol,5268,2369.76824,1543.45077,0.9821,-0.89,-2.0844,0.0371,False
material_conflict_annual_sum_1y_fwd,Eco+Env,5268,17210.57337,12950.89158,0.0579,-632.7,-31.5397,0.0,False
material_conflict_annual_sum_1y_fwd,Full_Tri_Domain,5268,2366.6294,1542.40082,0.9822,-0.75,-1.7475,0.0805,False
goldstein_annual_mean_1y_fwd,Domain_Only,5376,1.28822,1.06489,0.9497,0.0,0.0,1.0,False
goldstein_annual_mean_1y_fwd,Eco+Pol,5376,1.2945,1.07076,0.9492,-0.49,-7.1023,0.0,False
goldstein_annual_mean_1y_fwd,Eco+Env,5376,5.64484,4.68883,0.0333,-338.19,-61.8303,0.0,False
goldstein_annual_mean_1y_fwd,Full_Tri_Domain,5376,1.36941,1.12996,0.9431,-6.3,-18.3674,0.0,False
co2_emissions_per_capita_target_h1,Domain_Only,1592,0.99686,0.82231,0.5154,0.0,0.0,1.0,False
co2_emissions_per_capita_target_h1,Eco+Pol,1592,3.5213,3.29235,-5.0464,-253.24,-53.0218,0.0,False
co2_emissions_per_capita_target_h1,Eco+Env,1592,1.0122,0.83665,0.5004,-1.54,-13.9718,0.0,False
co2_emissions_per_capita_target_h1,Full_Tri_Domain,1592,1.01921,0.84306,0.4935,-2.24,-17.6398,0.0,False
co2_emissions_per_capita_target_h5,Domain_Only,1494,0.93759,0.7758,0.4651,0.0,0.0,1.0,False
co2_emissions_per_capita_target_h5,Eco+Pol,1494,3.18528,2.94915,-5.1739,-239.73,-47.3376,0.0,False
co2_emissions_per_capita_target_h5,Eco+Env,1494,0.96545,0.80104,0.4328,-2.97,-15.7938,0.0,False
co2_emissions_per_capita_target_h5,Full_Tri_Domain,1494,1.00626,0.83471,0.3839,-7.32,-21.2454,0.0,False
temp_anomaly_celsius_target_h1,Domain_Only,1592,0.14446,0.12088,0.4541,0.0,0.0,1.0,False
temp_anomaly_celsius_target_h1,Eco+Pol,1592,0.48837,0.45822,-5.2397,-238.07,-52.57,0.0,False
temp_anomaly_celsius_target_h1,Eco+Env,1592,0.14553,0.12212,0.4459,-0.74,-3.1052,0.0019,False
temp_anomaly_celsius_target_h1,Full_Tri_Domain,1592,0.14681,0.12324,0.4362,-1.63,-6.8419,0.0,False
disaster_economic_damage_usd_target_h1,Domain_Only,1592,434679.81206,334266.08423,-0.0416,0.0,0.0,1.0,False
disaster_economic_damage_usd_target_h1,Eco+Pol,1592,445330.15211,329049.55919,-0.0933,-2.45,-3.0546,0.0023,False
disaster_economic_damage_usd_target_h1,Eco+Env,1592,435989.48411,338239.62049,-0.0479,-0.3,-0.7024,0.4824,False
disaster_economic_damage_usd_target_h1,Full_Tri_Domain,1592,435042.9008,338656.63021,-0.0433,-0.08,-0.16,0.8729,False
