test_label,target_y,driver_x,lag_years,f_stat,p_value,is_causal_significant
Env_TempAnomaly_causes_GDP_Growth,gdp_pc_growth_1y_fwd,temp_anomaly_celsius,1,0.0861,0.7692,False
Env_TempAnomaly_causes_GDP_Growth,gdp_pc_growth_1y_fwd,temp_anomaly_celsius,2,0.4551,0.6344,False
Env_TempAnomaly_causes_GDP_Growth,gdp_pc_growth_1y_fwd,temp_anomaly_celsius,3,0.7346,0.5313,False
Env_DisasterDamage_causes_GDP_Growth,gdp_pc_growth_1y_fwd,disaster_economic_damage_usd,1,0.4584,0.4984,False
Env_DisasterDamage_causes_GDP_Growth,gdp_pc_growth_1y_fwd,disaster_economic_damage_usd,2,0.2453,0.7825,False
Env_DisasterDamage_causes_GDP_Growth,gdp_pc_growth_1y_fwd,disaster_economic_damage_usd,3,0.2008,0.8958,False
Env_Droughts_causes_Inflation,inflation_rate,droughts_count,1,1.1386,0.286,False
Env_Droughts_causes_Inflation,inflation_rate,droughts_count,2,1.4374,0.2377,False
Env_Droughts_causes_Inflation,inflation_rate,droughts_count,3,0.9429,0.4189,False
Eco_GDPGrowth_causes_CO2_Emissions,co2_emissions_per_capita,gdp_pc_growth_1y_fwd,1,0.171,0.6792,False
Eco_GDPGrowth_causes_CO2_Emissions,co2_emissions_per_capita,gdp_pc_growth_1y_fwd,2,0.1771,0.8377,False
Eco_GDPGrowth_causes_CO2_Emissions,co2_emissions_per_capita,gdp_pc_growth_1y_fwd,3,0.1538,0.9273,False
Eco_GovDebt_causes_RenewableShare,renewable_energy_pct_share,gov_debt_gdp,1,0.3369,0.5617,False
Eco_GovDebt_causes_RenewableShare,renewable_energy_pct_share,gov_debt_gdp,2,3.922,0.0199,True
Eco_GovDebt_causes_RenewableShare,renewable_energy_pct_share,gov_debt_gdp,3,2.3798,0.0678,False
Env_Droughts_causes_Pol_Protest,protest_unrest_annual_sum,droughts_count,1,0.0335,0.8548,False
Env_Droughts_causes_Pol_Protest,protest_unrest_annual_sum,droughts_count,2,1.3929,0.2485,False
Env_Droughts_causes_Pol_Protest,protest_unrest_annual_sum,droughts_count,3,1.1562,0.325,False
Env_DisasterDamage_causes_Pol_Conflict,material_conflict_annual_sum,disaster_economic_damage_usd,1,6.5337,0.0106,True
Env_DisasterDamage_causes_Pol_Conflict,material_conflict_annual_sum,disaster_economic_damage_usd,2,4.3736,0.0127,True
Env_DisasterDamage_causes_Pol_Conflict,material_conflict_annual_sum,disaster_economic_damage_usd,3,3.0417,0.0278,True
Env_TempAnomaly_causes_Pol_Stability,goldstein_annual_mean,temp_anomaly_celsius,1,2.2955,0.1299,False
Env_TempAnomaly_causes_Pol_Stability,goldstein_annual_mean,temp_anomaly_celsius,2,4.8298,0.008,True
Env_TempAnomaly_causes_Pol_Stability,goldstein_annual_mean,temp_anomaly_celsius,3,3.7144,0.0111,True
Pol_Conflict_causes_DisasterDamage,disaster_economic_damage_usd,material_conflict_annual_sum,1,0.0061,0.9377,False
Pol_Conflict_causes_DisasterDamage,disaster_economic_damage_usd,material_conflict_annual_sum,2,0.0608,0.941,False
Pol_Conflict_causes_DisasterDamage,disaster_economic_damage_usd,material_conflict_annual_sum,3,0.1176,0.9498,False
Pol_Stability_causes_RenewableShare,renewable_energy_pct_share,stability_momentum_annual_mean,1,1.6822,0.1947,False
Pol_Stability_causes_RenewableShare,renewable_energy_pct_share,stability_momentum_annual_mean,2,10.5907,0.0,True
Pol_Stability_causes_RenewableShare,renewable_energy_pct_share,stability_momentum_annual_mean,3,8.3857,0.0,True
Pol_Conflict_causes_GDP_Growth,gdp_pc_growth_1y_fwd,material_conflict_annual_sum,1,0.0002,0.9877,False
Pol_Conflict_causes_GDP_Growth,gdp_pc_growth_1y_fwd,material_conflict_annual_sum,2,0.4857,0.6153,False
Pol_Conflict_causes_GDP_Growth,gdp_pc_growth_1y_fwd,material_conflict_annual_sum,3,1.4253,0.2332,False
Eco_GDPGrowth_causes_Pol_Conflict,material_conflict_annual_sum,gdp_pc_growth_1y_fwd,1,0.5382,0.4632,False
Eco_GDPGrowth_causes_Pol_Conflict,material_conflict_annual_sum,gdp_pc_growth_1y_fwd,2,0.3498,0.7048,False
Eco_GDPGrowth_causes_Pol_Conflict,material_conflict_annual_sum,gdp_pc_growth_1y_fwd,3,0.41,0.7458,False
Eco_BankingCrisis_causes_Pol_Stability,goldstein_annual_mean,banking_crisis,1,0.1688,0.6812,False
Eco_BankingCrisis_causes_Pol_Stability,goldstein_annual_mean,banking_crisis,2,0.5965,0.5508,False
Eco_BankingCrisis_causes_Pol_Stability,goldstein_annual_mean,banking_crisis,3,1.1816,0.3151,False
