iter	MAE
0	0.2804961689
1	0.2784291774
2	0.2763647808
3	0.2747539114
4	0.2731310449
5	0.2712493458
6	0.2695135048
7	0.2677847511
8	0.2665985933
9	0.2651646658
10	0.2640222086
11	0.2626919187
12	0.2614525832
13	0.26036867
14	0.2593800964
15	0.2584317761
16	0.2573905268
17	0.2564925477
18	0.2543060396
19	0.2535016501
20	0.2527436795
21	0.2519500996
22	0.2511947004
23	0.2505002472
24	0.2499078705
25	0.2490396006
26	0.2485023678
27	0.2477372421
28	0.2469532009
29	0.2460289628
30	0.2455323062
31	0.2449583487
32	0.2441881393
33	0.243530323
34	0.2430131209
35	0.242441952
36	0.2420280326
37	0.2416843255
38	0.2411591753
39	0.2406146912
40	0.2402265034
41	0.2398706053
42	0.2394281169
43	0.2388893022
44	0.2382958619
45	0.237790699
46	0.2373259327
47	0.2369624795
48	0.2363335128
49	0.2361011886
50	0.2356422706
51	0.2353001392
52	0.2344506759
53	0.2341543633
54	0.2337770375
55	0.2335187096
56	0.2331415091
57	0.2328994355
58	0.2322918239
59	0.2319042354
60	0.2315282778
61	0.2305940036
62	0.2302573413
63	0.2300062644
64	0.2295587363
65	0.2278215506
66	0.2275124124
67	0.2272205679
68	0.2268800404
69	0.2265097973
70	0.2262255342
71	0.226026251
72	0.2257409448
73	0.2253758411
74	0.2249538495
75	0.2245754983
76	0.2232738313
77	0.2230819346
78	0.2229081662
79	0.2225332029
80	0.2216017301
81	0.2213100577
82	0.2201473435
83	0.2199085962
84	0.2196050659
85	0.2192996431
86	0.2190632571
87	0.2181012006
88	0.2177325462
89	0.2174622531
90	0.2171813732
91	0.2168896224
92	0.2165527583
93	0.2162998941
94	0.215169265
95	0.2149075114
96	0.2146244416
97	0.2144140928
98	0.2142148932
99	0.2140840895
100	0.2139035942
101	0.2137228902
102	0.2135718295
103	0.213401646
104	0.213266714
105	0.2130342513
106	0.2128171614
107	0.2125582899
108	0.2124166329
109	0.2122961835
110	0.2121099229
111	0.2119179858
112	0.2116408593
113	0.2114017207
114	0.2112752085
115	0.2110035332
116	0.2106813432
117	0.2104925456
118	0.2102858127
119	0.2096441689
120	0.2094817352
121	0.2091770205
122	0.2088871309
123	0.208546193
124	0.2084239657
125	0.2083538365
126	0.2080682099
127	0.2079808517
128	0.2075121054
129	0.2073763417
130	0.2072463251
131	0.2070601568
132	0.2068792087
133	0.2067411052
134	0.2064433592
135	0.2062550961
136	0.2061058946
137	0.2059879958
138	0.2058884226
139	0.2056790786
140	0.2055820556
141	0.2054315188
142	0.2052068737
143	0.2050858428
144	0.2048853311
145	0.2047384405
146	0.2045230611
147	0.2043551861
148	0.2042110937
149	0.2041242879
150	0.2039955141
151	0.2038094436
152	0.2036727208
153	0.2034187906
154	0.2032556545
155	0.2031400748
156	0.202849971
157	0.2026564699
158	0.2025341378
159	0.2023456539
160	0.2022405261
161	0.2021348466
162	0.2020102492
163	0.2017944114
164	0.2016014236
165	0.2013875753
166	0.2012322477
167	0.2010695124
168	0.2008763153
169	0.2007202135
170	0.2005122919
171	0.2003177387
172	0.2002078964
173	0.199671903
174	0.199490409
175	0.1993068424
176	0.1991241157
177	0.1989759282
178	0.1987986577
179	0.1985165407
180	0.1982941063
181	0.1980702004
182	0.1979551177
183	0.1977762192
184	0.1975857308
185	0.1974217264
186	0.1971087483
187	0.1969776875
188	0.1967056992
189	0.1965955844
190	0.196520698
191	0.1964245338
192	0.1958224865
193	0.1955946921
194	0.1954379114
195	0.1951795283
196	0.1949643638
197	0.1947597107
198	0.1946106626
199	0.194033801
200	0.1938564811
201	0.1935094652
202	0.1933244875
203	0.1931620766
204	0.1929220484
205	0.1926644721
206	0.1924606124
207	0.1923030523
208	0.1921322437
209	0.1919750136
210	0.1916770515
211	0.1915384877
212	0.1912806165
213	0.1910337296
214	0.1908984497
215	0.1907444401
216	0.1906038799
217	0.1904934227
218	0.1898346743
219	0.1885117658
220	0.1883677082
221	0.1881618084
222	0.1880222833
223	0.1877631246
224	0.1875634727
225	0.1874168589
226	0.1873330926
227	0.1871705713
228	0.1870699518
229	0.186929282
230	0.1866869614
231	0.1865971945
232	0.1863585927
233	0.1860069027
234	0.1857659801
235	0.1855481386
236	0.1854258951
237	0.1853302052
238	0.1852276885
239	0.1850584691
240	0.1848264849
241	0.1846669561
242	0.1845768961
243	0.1844422445
244	0.1837942304
245	0.1829564092
246	0.1828726373
247	0.1827686175
248	0.1817502826
249	0.18160885
250	0.1815235824
251	0.1813904697
252	0.1805450245
253	0.1803581258
254	0.1801602035
255	0.1800495784
256	0.1798796568
257	0.1797343823
258	0.1796715249
259	0.178912281
260	0.1786713913
261	0.1784624219
262	0.1782451887
263	0.178094038
264	0.1779928955
265	0.1776346471
266	0.17748322
267	0.1774126433
268	0.177210339
269	0.1771032642
270	0.1769913593
271	0.1768031645
272	0.1765648534
273	0.1763412901
274	0.1762615007
275	0.1760276645
276	0.1759047425
277	0.1757928073
278	0.1755700187
279	0.1754448551
280	0.1753823763
281	0.1752470223
282	0.1751540187
283	0.17501016
284	0.1749492484
285	0.1748032629
286	0.1745069155
287	0.1744038992
288	0.1742498908
289	0.173376064
290	0.1732760569
291	0.1731461841
292	0.1729827646
293	0.1728248012
294	0.1727338739
295	0.1726743624
296	0.1725443649
297	0.1725026306
298	0.1722053201
299	0.1709894168
300	0.1708585694
301	0.1707467466
302	0.1706344245
303	0.1705866221
304	0.1704954902
305	0.170435678
306	0.1702740824
307	0.1701996298
308	0.1700614105
309	0.1698998879
310	0.1698418343
311	0.1697128967
312	0.1695530202
313	0.1694733453
314	0.1694492887
315	0.1693204928
316	0.1692442834
317	0.1690586833
318	0.1690051111
319	0.168810053
320	0.1687224576
321	0.1686037135
322	0.1679149962
323	0.1677319306
324	0.1675954337
325	0.1674710203
326	0.1673006422
