iter	Passed	Remaining
0	12	9724
1	23	9363
2	34	9176
3	45	9041
4	56	8949
5	66	8834
6	77	8771
7	88	8793
8	99	8778
9	110	8707
10	120	8643
11	130	8600
12	141	8543
13	151	8532
14	163	8550
15	174	8546
16	185	8525
17	195	8500
18	206	8476
19	216	8454
20	227	8432
21	237	8405
22	248	8382
23	259	8377
24	269	8350
25	279	8328
26	289	8302
27	300	8289
28	311	8272
29	321	8259
30	332	8240
31	342	8215
32	353	8222
33	364	8204
34	374	8189
35	385	8172
36	395	8152
37	405	8129
38	415	8116
39	426	8099
40	436	8086
41	446	8064
42	457	8045
43	467	8032
44	479	8037
45	489	8025
46	500	8012
47	510	7993
48	520	7977
49	530	7960
50	540	7941
51	551	7934
52	562	7922
53	572	7912
54	583	7899
55	593	7886
56	604	7886
57	615	7878
58	626	7868
59	636	7855
60	647	7841
61	657	7829
62	668	7815
63	678	7802
64	688	7789
65	699	7775
66	709	7760
67	719	7747
68	730	7737
69	740	7724
70	751	7717
71	761	7701
72	771	7685
73	782	7675
74	792	7660
75	802	7646
76	812	7632
77	822	7617
78	833	7608
79	843	7595
80	854	7582
81	864	7568
82	875	7558
83	885	7545
84	895	7532
85	905	7521
86	916	7509
87	926	7495
88	936	7482
89	946	7469
90	957	7458
91	967	7447
92	977	7434
93	988	7425
94	998	7411
95	1008	7398
96	1019	7390
97	1029	7377
98	1040	7366
99	1050	7355
100	1061	7344
101	1071	7333
102	1082	7322
103	1093	7316
104	1106	7323
105	1119	7328
106	1131	7327
107	1144	7330
108	1157	7337
109	1170	7343
110	1185	7358
111	1197	7358
112	1210	7358
113	1223	7362
114	1236	7365
115	1248	7364
116	1261	7364
117	1281	7409
118	1301	7450
119	1317	7468
120	1329	7460
121	1345	7477
122	1356	7465
123	1367	7454
124	1378	7442
125	1388	7429
126	1400	7420
127	1411	7409
128	1421	7395
129	1432	7382
130	1442	7366
131	1452	7351
132	1462	7336
133	1473	7322
134	1483	7309
135	1494	7296
136	1504	7280
137	1514	7265
138	1524	7251
139	1535	7237
140	1545	7222
141	1556	7210
142	1567	7199
143	1577	7185
144	1587	7171
145	1598	7160
146	1609	7149
147	1620	7137
148	1631	7126
149	1641	7115
150	1652	7104
151	1663	7091
152	1673	7077
153	1683	7064
154	1694	7049
155	1705	7038
156	1716	7029
157	1727	7017
158	1737	7004
159	1747	6991
160	1758	6979
161	1768	6966
162	1779	6953
163	1789	6940
164	1799	6927
165	1810	6914
166	1820	6900
167	1831	6890
168	1841	6876
169	1852	6864
170	1862	6851
171	1872	6838
172	1882	6824
173	1893	6810
174	1903	6798
175	1913	6785
176	1924	6772
177	1934	6759
178	1944	6747
179	1954	6733
180	1965	6721
181	1975	6709
182	1985	6695
183	1996	6684
184	2007	6671
185	2017	6659
186	2027	6647
187	2038	6635
188	2049	6624
189	2059	6610
190	2069	6598
191	2079	6584
192	2089	6572
193	2100	6560
194	2110	6547
195	2121	6538
196	2132	6526
197	2142	6514
198	2153	6502
199	2163	6490
200	2174	6481
201	2186	6472
202	2196	6460
203	2207	6449
204	2217	6436
205	2227	6424
206	2238	6413
207	2248	6400
208	2259	6388
209	2269	6377
210	2280	6365
211	2290	6353
212	2301	6341
213	2311	6329
214	2321	6317
215	2331	6304
216	2342	6292
217	2352	6279
218	2362	6267
219	2373	6256
220	2383	6245
221	2394	6233
222	2404	6221
223	2415	6210
224	2425	6198
225	2435	6186
226	2446	6174
227	2456	6162
228	2466	6150
229	2477	6139
230	2487	6127
231	2497	6115
232	2508	6103
233	2518	6091
234	2528	6079
235	2539	6068
236	2549	6056
237	2559	6044
238	2569	6032
239	2580	6020
240	2590	6008
241	2601	5998
242	2611	5986
243	2621	5974
244	2632	5963
245	2642	5951
246	2653	5941
247	2665	5932
248	2676	5922
249	2687	5911
250	2697	5900
251	2707	5888
252	2717	5875
253	2728	5864
254	2738	5852
255	2748	5841
256	2759	5830
257	2770	5819
258	2780	5808
259	2790	5796
260	2801	5785
261	2811	5774
262	2822	5762
263	2832	5751
264	2842	5739
265	2853	5727
266	2863	5715
267	2873	5703
268	2883	5692
269	2893	5680
270	2904	5669
271	2914	5658
272	2925	5646
273	2935	5635
274	2946	5624
275	2956	5613
276	2966	5601
277	2976	5589
278	2987	5578
279	2997	5567
280	3008	5556
281	3018	5544
282	3029	5533
283	3039	5522
284	3049	5510
285	3060	5499
286	3071	5489
287	3081	5478
288	3092	5467
289	3102	5456
290	3113	5445
291	3123	5434
292	3134	5423
293	3144	5411
294	3154	5399
295	3165	5390
296	3177	5380
297	3187	5370
298	3198	5359
299	3208	5348
300	3219	5336
301	3229	5325
302	3239	5313
303	3249	5301
304	3260	5290
305	3270	5280
306	3281	5269
307	3292	5259
308	3302	5248
309	3313	5237
310	3324	5226
311	3334	5215
312	3345	5204
313	3355	5193
314	3365	5181
315	3376	5172
316	3387	5160
317	3397	5149
318	3407	5138
319	3418	5127
320	3428	5115
321	3438	5104
322	3449	5093
323	3459	5082
324	3469	5071
325	3480	5060
326	3490	5048
327	3500	5037
328	3511	5027
329	3522	5016
330	3532	5005
331	3542	4994
332	3553	4983
333	3563	4971
334	3574	4961
335	3584	4950
336	3595	4939
337	3605	4928
338	3616	4917
339	3626	4906
340	3636	4895
341	3647	4884
342	3657	4873
343	3667	4861
344	3677	4850
345	3688	4840
346	3700	4830
347	3711	4820
348	3721	4809
349	3732	4798
350	3742	4788
351	3753	4776
352	3763	4765
353	3773	4754
354	3783	4743
355	3794	4732
356	3804	4721
357	3814	4709
358	3824	4698
359	3835	4687
360	3845	4676
361	3856	4666
362	3866	4655
363	3877	4644
364	3887	4633
365	3898	4622
366	3908	4611
367	3918	4600
368	3928	4589
369	3939	4577
370	3949	4566
371	3959	4555
372	3970	4544
373	3980	4533
374	3990	4523
375	4001	4512
376	4011	4501
377	4022	4490
378	4032	4479
379	4043	4468
380	4053	4457
381	4064	4447
382	4074	4436
383	4084	4425
384	4095	4414
385	4105	4403
386	4116	4392
387	4126	4381
388	4136	4370
389	4147	4360
390	4158	4350
391	4169	4339
392	4179	4328
393	4190	4317
394	4200	4307
395	4210	4295
396	4221	4285
397	4232	4275
398	4242	4263
399	4252	4252
400	4263	4242
401	4274	4231
402	4284	4220
403	4295	4210
404	4305	4198
405	4315	4187
406	4325	4176
407	4336	4166
408	4346	4155
409	4357	4144
410	4367	4133
411	4378	4123
412	4389	4112
413	4399	4102
414	4410	4091
415	4420	4080
416	4430	4069
417	4440	4058
418	4450	4047
419	4460	4035
420	4471	4025
421	4481	4014
422	4492	4003
423	4502	3993
424	4513	3982
425	4523	3971
426	4534	3960
427	4544	3949
428	4554	3938
429	4564	3927
430	4574	3916
431	4584	3905
432	4595	3894
433	4605	3883
434	4615	3873
435	4626	3862
436	4636	3851
437	4646	3840
438	4656	3829
439	4667	3818
440	4677	3807
441	4688	3797
442	4698	3786
443	4708	3775
444	4719	3765
445	4730	3755
446	4742	3745
447	4753	3734
448	4764	3724
449	4775	3713
450	4785	3703
451	4796	3692
452	4806	3682
453	4817	3671
454	4827	3660
455	4837	3649
456	4847	3638
457	4858	3627
458	4868	3616
459	4879	3606
460	4889	3595
461	4899	3584
462	4909	3573
463	4920	3562
464	4930	3552
465	4941	3541
466	4951	3530
467	4962	3520
468	4972	3509
469	4982	3498
470	4992	3487
471	5002	3476
472	5013	3465
473	5023	3454
474	5033	3443
475	5043	3433
476	5054	3422
477	5064	3411
478	5074	3400
479	5084	3389
480	5095	3379
481	5105	3368
482	5115	3357
483	5126	3346
484	5136	3336
485	5146	3325
486	5158	3315
487	5169	3305
488	5179	3294
489	5190	3283
490	5200	3272
491	5210	3261
492	5221	3251
493	5231	3240
494	5242	3230
495	5252	3219
496	5262	3208
497	5274	3198
498	5285	3187
499	5295	3177
500	5306	3166
501	5316	3156
502	5327	3145
503	5337	3134
504	5347	3123
505	5358	3113
506	5368	3102
507	5378	3091
508	5389	3081
509	5399	3070
510	5409	3059
511	5420	3048
512	5430	3038
513	5441	3027
514	5451	3016
515	5461	3005
516	5471	2995
517	5481	2984
518	5492	2973
519	5502	2962
520	5512	2952
521	5523	2941
522	5533	2930
523	5543	2919
524	5553	2909
525	5563	2898
526	5574	2887
527	5584	2877
528	5595	2866
529	5605	2855
530	5615	2844
531	5626	2834
532	5636	2823
533	5646	2812
534	5656	2801
535	5666	2791
536	5677	2780
537	5687	2769
538	5698	2759
539	5708	2748
540	5718	2737
541	5729	2727
542	5739	2716
543	5750	2706
544	5761	2695
545	5772	2685
546	5782	2674
547	5794	2664
548	5804	2653
549	5814	2643
550	5825	2632
551	5835	2621
552	5846	2611
553	5856	2600
554	5866	2589
555	5877	2579
556	5887	2568
557	5897	2557
558	5907	2547
559	5918	2536
560	5928	2525
561	5938	2514
562	5949	2504
563	5959	2493
564	5969	2482
565	5980	2472
566	5990	2461
567	6000	2451
568	6011	2440
569	6021	2429
570	6032	2419
571	6042	2408
572	6052	2397
573	6062	2387
574	6072	2376
575	6083	2365
576	6093	2354
577	6103	2344
578	6113	2333
579	6124	2322
580	6134	2312
581	6145	2301
582	6156	2291
583	6167	2280
584	6177	2270
585	6187	2259
586	6198	2249
587	6208	2238
588	6218	2227
589	6228	2217
590	6239	2206
591	6250	2196
592	6260	2185
593	6270	2174
594	6281	2164
595	6292	2153
596	6302	2143
597	6313	2132
598	6324	2122
599	6334	2111
600	6345	2100
601	6355	2090
602	6365	2079
603	6376	2069
604	6387	2058
605	6398	2048
606	6408	2037
607	6418	2026
608	6429	2016
609	6439	2005
610	6449	1995
611	6459	1984
612	6470	1973
613	6480	1963
614	6490	1952
615	6500	1941
616	6510	1931
617	6521	1920
618	6531	1909
619	6541	1899
620	6551	1888
621	6562	1877
622	6572	1867
623	6582	1856
624	6593	1846
625	6603	1835
626	6614	1824
627	6624	1814
628	6634	1803
629	6645	1793
630	6655	1782
631	6665	1771
632	6675	1761
633	6685	1750
634	6695	1739
635	6706	1729
636	6716	1718
637	6726	1707
638	6736	1697
639	6747	1686
640	6757	1676
641	6767	1665
642	6778	1655
643	6790	1644
644	6800	1634
645	6810	1623
646	6820	1612
647	6831	1602
648	6841	1591
649	6852	1581
650	6863	1570
651	6873	1560
652	6884	1549
653	6894	1539
654	6905	1528
655	6915	1518
656	6925	1507
657	6936	1496
658	6946	1486
659	6956	1475
660	6967	1465
661	6977	1454
662	6987	1443
663	6997	1433
664	7007	1422
665	7018	1412
666	7028	1401
667	7039	1390
668	7049	1380
669	7060	1369
670	7070	1359
671	7080	1348
672	7091	1338
673	7103	1327
674	7114	1317
675	7125	1307
676	7136	1296
677	7148	1286
678	7159	1275
679	7170	1265
680	7180	1254
681	7190	1244
682	7200	1233
683	7211	1222
684	7221	1212
685	7231	1201
686	7242	1191
687	7252	1180
688	7263	1170
689	7274	1159
690	7284	1149
691	7295	1138
692	7305	1127
693	7315	1117
694	7326	1106
695	7336	1096
696	7347	1085
697	7357	1075
698	7368	1064
699	7379	1054
700	7390	1043
701	7401	1033
702	7411	1022
703	7421	1012
704	7432	1001
705	7442	990
706	7453	980
707	7463	969
708	7473	959
709	7484	948
710	7494	938
711	7504	927
712	7514	916
713	7524	906
714	7534	895
715	7545	885
716	7555	874
717	7565	864
718	7576	853
719	7586	842
720	7596	832
721	7607	821
722	7617	811
723	7628	800
724	7638	790
725	7648	779
726	7659	769
727	7669	758
728	7680	747
729	7690	737
730	7700	726
731	7711	716
732	7721	705
733	7731	695
734	7742	684
735	7752	674
736	7762	663
737	7773	653
738	7784	642
739	7794	631
740	7805	621
741	7816	611
742	7827	600
743	7838	589
744	7848	579
745	7858	568
746	7868	558
747	7879	547
748	7889	537
749	7900	526
750	7911	516
751	7922	505
752	7932	495
753	7943	484
754	7953	474
755	7963	463
756	7974	452
757	7984	442
758	7995	431
759	8005	421
