horizon,model,n,pos_rate,pred_mean,roc_auc,pr_auc,brier,anchor_end,h,fold
1,lgbm_binary,1160,0.02068965509533882,0.06656890960558964,0.6914245892018779,0.04935389002391482,0.034298251445911615,2004,1,0
1,lgbm_binary,1158,0.03713298961520195,0.0492907463052452,0.5745333194285118,0.09388779525075924,0.041767293244741745,2009,1,1
1,lgbm_binary,1158,0.029360966756939888,0.055018982465089177,0.6707661712371782,0.051017312187165154,0.03839097075698788,2014,1,2
1,lgbm_binary,1145,0.00611353712156415,0.04717365031614973,0.7975144363545067,0.26682548406084233,0.011827647846509607,2019,1,3
1,lgbm_binary,907,0.0,0.03467497061848245,,,0.004574265252115098,2023,1,4
3,lgbm_binary,1160,0.046551723033189774,0.23057074842080963,0.7553244926662649,0.12899527358339707,0.12985051873379969,2004,3,0
3,lgbm_binary,1158,0.11312607675790787,0.2025408057841703,0.5852590737120643,0.17784533646806833,0.15353699301347556,2009,3,1
3,lgbm_binary,1158,0.0863557830452919,0.22206397871209702,0.7590359168241966,0.24384473252336802,0.12567325391215411,2014,3,2
3,lgbm_binary,1145,0.00786026194691658,0.1857982514466047,0.8798904538341158,0.39103284022894524,0.07626691333997213,2019,3,3
3,lgbm_binary,907,0.0,0.12835266726739888,,,0.038911209340809,2023,3,4
5,lgbm_binary,1160,0.1129310354590416,0.3201648886168301,0.6383504328667128,0.1984577557308475,0.225284304101812,2004,5,0
5,lgbm_binary,1158,0.14421416819095612,0.32232465972218205,0.7165870076194735,0.3673883403819834,0.19524908450545977,2009,5,1
5,lgbm_binary,1158,0.12780655920505524,0.31062328868266487,0.8047832485951298,0.42274371341574773,0.16668924433628762,2014,5,2
5,lgbm_binary,1145,0.00786026194691658,0.277891740688052,0.8458528951486698,0.4770730991159976,0.14578012683246,2019,5,3
5,lgbm_binary,907,0.0,0.20277454705521428,,,0.08800514543195989,2023,5,4
10,lgbm_binary,1160,0.23620688915252686,0.501410409236231,0.72133429997858,0.4427691408250019,0.3006567201275083,2004,10,0
10,lgbm_binary,1158,0.22970639169216156,0.48992404744102347,0.7875139080886072,0.5406418367354155,0.25969638979367016,2009,10,1
10,lgbm_binary,1158,0.13385146856307983,0.4742122626708051,0.8662399897082945,0.5925129513447006,0.26813682048829507,2014,10,2
10,lgbm_binary,1145,0.00786026194691658,0.4079930089385521,0.850547730829421,0.24210058750341545,0.2729113514020104,2019,10,3
10,lgbm_binary,907,0.0,0.30378254867593396,,,0.17783895252772566,2023,10,4
