horizon,fold,train_end,test_start,test_end,n_train,n_opt_train,n_opt_val,n_test,model,mae,rmse,dir_acc,skill_vs_naive,skill_vs_ar1
3,4,2003,2004,2007,8701,7848,853,867,naive_persistence,0.07528482377529144,0.11840690672397614,0.7923875432525952,0.0,-0.11865901947021484
3,4,2003,2004,2007,8701,7848,853,867,ar1_lag1_honest,0.06729917228221893,0.09859714657068253,0.7877739331026529,0.10607254505157471,0.0
3,4,2003,2004,2007,8701,7848,853,867,ridge,0.08563069254159927,0.11731181293725967,0.698961937716263,-0.13742303848266602,-0.2723884582519531
3,4,2003,2004,2007,8701,7848,853,867,lgbm,0.07300888063375942,0.1000619861833885,0.7635524798154556,0.030231101401329008,-0.0848406920607705
3,4,2003,2004,2007,8701,7848,853,867,catboost,0.06670396379956287,0.09316287416230559,0.7727797001153403,0.11397861541577814,0.008844216986206965
3,4,2003,2004,2007,8701,7848,853,867,xgboost,0.06747773289680481,0.09460658580064774,0.7704728950403691,0.10370069742202759,-0.0026532411575317383
3,4,2003,2004,2007,8701,7848,853,867,hb_country,0.11712796986103058,0.18910229206085205,0.6424452133794695,-0.5557979345321655,-0.7404072284698486
3,4,2003,2004,2007,8701,7848,853,867,ensemble_lgbm_prior,0.06670854845012085,0.09201433510137319,0.7693194925028836,0.11391771800873018,0.008776093554632491
3,4,2003,2004,2007,8701,7848,853,867,ensemble_lgbm_ridge_prior,0.0677153536148366,0.09461906092259871,0.7820069204152249,0.10054443619404663,-0.006184048310021062
3,4,2003,2004,2007,8701,7848,853,867,ensemble_lgbm_catboost_xgboost,0.06749842400400247,0.09362073614797638,0.7727797001153403,0.103425888257767,-0.002960686068291807
3,4,2003,2004,2007,8701,7848,853,867,ensemble_lgbm_cat_xgb_ridge_prior,0.06606731310963089,0.0918016227922465,0.7727797001153403,0.1224351762205459,0.01830422471501203
3,4,2003,2004,2007,8701,7848,853,867,ensemble_lgbm_hb,0.08654049008780125,0.12111832856832931,0.6851211072664359,-0.149507772590469,-0.2859071984554862
3,3,2007,2008,2011,9568,8701,867,876,naive_persistence,0.07037178426980972,0.11148883402347565,0.7363013698630136,0.0,-0.11046648025512695
3,3,2007,2008,2011,9568,8701,867,876,ar1_lag1_honest,0.06337137520313263,0.10171370208263397,0.7705479452054794,0.09947746992111206,0.0
3,3,2007,2008,2011,9568,8701,867,876,ridge,0.08481522649526596,0.1265563666820526,0.6518264840182648,-0.205244779586792,-0.33838391304016113
