horizon,fold,train_end,test_start,test_end,n_train,n_opt_train,n_opt_val,n_test,model,mae,rmse,dir_acc,skill_vs_naive,skill_vs_ar1
5,4,2002,2003,2006,8468,7621,847,866,naive_persistence,0.09480898827314377,0.14481115341186523,0.8337182448036952,0.0,-0.12703371047973633
5,4,2002,2003,2006,8468,7621,847,866,ar1_lag1_honest,0.08412258327007294,0.1265784054994583,0.8337182448036952,0.11271512508392334,0.0
5,4,2002,2003,2006,8468,7621,847,866,ridge,0.1273549497127533,0.17423748970031738,0.7055427251732102,-0.34327924251556396,-0.5139210224151611
5,4,2002,2003,2006,8468,7621,847,866,lgbm,0.10314444482568844,0.14592475821322554,0.792147806004619,-0.08791842107343562,-0.2261207492231474
5,4,2002,2003,2006,8468,7621,847,866,catboost,0.08902080092866803,0.1288157375744726,0.8233256351039261,0.06105104009548157,-0.05822714267902973
5,4,2002,2003,2006,8468,7621,847,866,xgboost,0.090489462018013,0.1314173936843872,0.8060046189376443,0.04556030035018921,-0.07568573951721191
5,4,2002,2003,2006,8468,7621,847,866,hb_country,0.17406225204467773,0.29145389795303345,0.6789838337182448,-0.8359255790710449,-1.0691502094268799
5,4,2002,2003,2006,8468,7621,847,866,ensemble_lgbm_prior,0.08843875440960058,0.1234333725771783,0.8140877598152425,0.06719018923807729,-0.051308114560280504
5,4,2002,2003,2006,8468,7621,847,866,ensemble_lgbm_ridge_prior,0.08937548581824435,0.12598926490283469,0.8302540415704388,0.05730999300662876,-0.062443428910250454
5,4,2002,2003,2006,8468,7621,847,866,ensemble_lgbm_catboost_xgboost,0.0905828086231621,0.13092080080358268,0.8106235565819861,0.04457572775490526,-0.07679537529593938
5,4,2002,2003,2006,8468,7621,847,866,ensemble_lgbm_cat_xgb_ridge_prior,0.08715371997616395,0.12521981996487117,0.8233256351039261,0.08074411969174344,-0.03603237784982949
5,4,2002,2003,2006,8468,7621,847,866,ensemble_lgbm_hb,0.12642228880470013,0.18170157478384283,0.733256351039261,-0.3334420196582919,-0.5028341248012476
5,3,2006,2007,2010,9334,8468,866,874,naive_persistence,0.07406170666217804,0.12088758498430252,0.8272311212814645,0.0,-0.0668182373046875
5,3,2006,2007,2010,9334,8468,866,874,ar1_lag1_honest,0.06942298263311386,0.11344826966524124,0.834096109839817,0.062633216381073,0.0
5,3,2006,2007,2010,9334,8468,866,874,ridge,0.12503089010715485,0.17208486795425415,0.6590389016018307,-0.6881989240646362,-0.8010014295578003
5,3,2006,2007,2010,9334,8468,866,874,lgbm,0.10742648070603923,0.1532539999601915,0.7448512585812357,-0.4504996650435005,-0.5474195523082899
5,3,2006,2007,2010,9334,8468,866,874,catboost,0.0907701123240045,0.13988463652730987,0.7677345537757437,-0.22560114281513233,-0.30749369850191854
5,3,2006,2007,2010,9334,8468,866,874,xgboost,0.0876757800579071,0.1352311372756958,0.7860411899313501,-0.1838207244873047,-0.2629215717315674
5,3,2006,2007,2010,9334,8468,866,874,hb_country,0.16357570886611938,0.26336053013801575,0.6784897025171625,-1.2086408138275146,-1.3562183380126953
5,3,2006,2007,2010,9334,8468,866,874,ensemble_lgbm_prior,0.08721319892152041,0.130167857186842,0.7803203661327232,-0.1775747933993883,-0.25625831120544285
5,3,2006,2007,2010,9334,8468,866,874,ensemble_lgbm_ridge_prior,0.08830124450981787,0.1302467123481678,0.7917620137299771,-0.1922658616630517,-0.2719310113262019
5,3,2006,2007,2010,9334,8468,866,874,ensemble_lgbm_catboost_xgboost,0.09259686472705558,0.13968668043660482,0.7620137299771167,-0.25026641837222363,-0.333807065254037
5,3,2006,2007,2010,9334,8468,866,874,ensemble_lgbm_cat_xgb_ridge_prior,0.08824196083551526,0.13287229539406023,0.7757437070938215,-0.191465398414574,-0.27107706250328967
5,3,2006,2007,2010,9334,8468,866,874,ensemble_lgbm_hb,0.12030027969679312,0.17419641447335132,0.7254004576659039,-0.6243249733026781,-0.732859568027425
5,2,2010,2011,2014,10208,9334,874,876,naive_persistence,0.07406183332204819,0.12574374675750732,0.843607305936073,0.0,-0.06322193145751953
5,2,2010,2011,2014,10208,9334,874,876,ar1_lag1_honest,0.06965792179107666,0.11574365198612213,0.8641552511415526,0.05946260690689087,0.0
5,2,2010,2011,2014,10208,9334,874,876,ridge,0.11187310516834259,0.16368694603443146,0.6952054794520548,-0.5105365514755249,-0.606035590171814
5,2,2010,2011,2014,10208,9334,874,876,lgbm,0.08679168313237091,0.13782799915970664,0.7990867579908676,-0.1718813758629043,-0.2459700332818302
5,2,2010,2011,2014,10208,9334,874,876,catboost,0.07611280320356237,0.12903720405455255,0.8333333333333334,-0.027692669618314847,-0.09266543196401522
5,2,2010,2011,2014,10208,9334,874,876,xgboost,0.0764119029045105,0.12835292518138885,0.817351598173516,-0.03173112869262695,-0.09695923328399658
5,2,2010,2011,2014,10208,9334,874,876,hb_country,0.13175183534622192,0.22444500029087067,0.7408675799086758,-0.7789437770843506,-0.8914121389389038
