horizon_weeks,fold,train_samples,val_samples,rmse_ensemble,rmse_naive,mae_ensemble,r2_score
4,1,288960,57792,232.522,319.204,132.9744,0.7235
4,2,346752,57792,240.0806,334.8293,137.4469,0.7174
4,3,404544,57792,240.9349,332.7301,136.6345,0.7101
4,4,462336,57792,237.6963,329.7851,134.5269,0.7183
4,5,520128,57792,241.3833,332.047,137.9328,0.7219
26,1,287112,57422,233.7558,322.0479,133.4434,0.7207
26,2,344534,57422,240.5998,332.9592,137.5348,0.7161
26,3,401956,57423,241.0587,333.5205,136.5402,0.7104
26,4,459379,57422,237.6803,331.1939,134.4055,0.7178
26,5,516801,57423,241.2562,333.3806,138.0689,0.7224
52,1,284928,56985,233.2631,324.3704,133.6176,0.7228
52,2,341913,56986,239.9665,331.3157,137.3523,0.7167
52,3,398899,56985,242.1442,335.2188,136.9205,0.7083
52,4,455884,56986,238.1264,330.6248,134.7762,0.7166
52,5,512870,56986,241.6221,333.66,138.4235,0.7217
