target_indicator,horizon_years,sample_count,ml_ensemble_rmse,ml_ensemble_mae,normalized_rmse_nrmse,nrmse_pct,naive_baseline_rmse,dm_vs_naive_stat,dm_vs_naive_pvalue,statistically_superior
co2_emissions_per_capita,1,1000,0.8678,0.7058,0.6401,64.0%,0.8676,0.011,0.9909,False
co2_emissions_per_capita,3,1000,0.823,0.6689,0.6534,65.3%,1.0316,-9.823,0.0,True
co2_emissions_per_capita,5,1000,0.7936,0.6403,0.6845,68.4%,1.2931,-16.421,0.0,True
co2_emissions_per_capita,10,1000,0.7148,0.5699,0.7885,78.8%,1.9726,-16.797,0.0,True
temp_anomaly_celsius,1,1000,0.1201,0.098,0.6619,66.2%,0.1199,0.084,0.9332,False
temp_anomaly_celsius,3,1000,0.1198,0.096,0.7116,71.2%,0.1431,-8.272,0.0,True
temp_anomaly_celsius,5,1000,0.1105,0.0898,0.717,71.7%,0.1792,-16.631,0.0,True
temp_anomaly_celsius,10,1000,0.1041,0.083,0.8249,82.5%,0.2681,-17.192,0.0,True
forest_area_pct_land,1,1000,3.8782,3.167,0.6523,65.2%,3.7158,1.834,0.0666,False
forest_area_pct_land,3,1000,3.5687,2.86,0.6449,64.5%,4.5157,-10.729,0.0,True
forest_area_pct_land,5,1000,3.7358,2.9956,0.742,74.2%,5.6623,-18.494,0.0,True
forest_area_pct_land,10,1000,3.3881,2.6779,0.8726,87.3%,8.6714,-17.135,0.0,True
floods_count,1,1000,2.1133,1.6847,0.9874,98.7%,2.8496,-10.858,0.0,True
floods_count,3,1000,2.1727,1.7291,1.0034,100.3%,2.8646,-9.838,0.0,True
floods_count,5,1000,2.2448,1.7662,0.9973,99.7%,3.0754,-11.547,0.0,True
floods_count,10,1000,2.376,1.9209,1.0097,101.0%,3.2601,-13.211,0.0,True
droughts_count,1,1000,1.3539,1.0873,0.9826,98.3%,1.8775,-12.337,0.0,True
droughts_count,3,1000,1.4417,1.156,1.0099,101.0%,1.9383,-11.193,0.0,True
droughts_count,5,1000,1.4951,1.1762,1.0,100.0%,1.9644,-11.054,0.0,True
droughts_count,10,1000,1.5718,1.2679,1.0198,102.0%,2.053,-12.23,0.0,True
wildfires_count,1,1000,1.7029,1.3277,1.0176,101.8%,2.3067,-10.89,0.0,True
wildfires_count,3,1000,1.7201,1.3489,1.0076,100.8%,2.3156,-10.82,0.0,True
wildfires_count,5,1000,1.7427,1.3671,1.006,100.6%,2.3499,-12.134,0.0,True
wildfires_count,10,1000,1.9029,1.4747,1.048,104.8%,2.4378,-9.749,0.0,True
extreme_temp_count,1,1000,1.4207,1.1107,0.9796,98.0%,1.8997,-11.138,0.0,True
extreme_temp_count,3,1000,1.4772,1.1553,0.9878,98.8%,1.9496,-9.967,0.0,True
extreme_temp_count,5,1000,1.5617,1.2336,1.0295,103.0%,1.97,-9.136,0.0,True
extreme_temp_count,10,1000,1.6525,1.3175,1.0628,106.3%,2.1166,-9.674,0.0,True
storms_count,1,1000,2.5042,1.9929,0.9535,95.4%,3.412,-11.521,0.0,True
storms_count,3,1000,2.8131,2.2057,1.0728,107.3%,3.3994,-7.768,0.0,True
storms_count,5,1000,2.574,2.0102,0.9698,97.0%,3.6217,-12.567,0.0,True
storms_count,10,1000,2.6946,2.1115,1.0328,103.3%,3.7712,-12.584,0.0,True
disaster_economic_damage_usd,1,1000,496632.1152,377082.523,1.0456,104.6%,666609.2808,-7.82,0.0,True
disaster_economic_damage_usd,3,1000,512061.8273,378482.1398,1.0651,106.5%,666991.4647,-7.785,0.0,True
disaster_economic_damage_usd,5,1000,513042.0739,383279.0976,1.0352,103.5%,679548.2219,-8.771,0.0,True
disaster_economic_damage_usd,10,1000,526226.1041,396717.42,1.0374,103.7%,691879.7519,-8.385,0.0,True
renewable_energy_pct_share,1,1000,3.7049,3.0185,0.7115,71.2%,3.2945,4.918,0.0,False
renewable_energy_pct_share,3,1000,3.3604,2.7009,0.7122,71.2%,3.9605,-7.757,0.0,True
renewable_energy_pct_share,5,1000,3.2099,2.6035,0.7398,74.0%,5.0243,-17.542,0.0,True
renewable_energy_pct_share,10,1000,2.7587,2.2262,0.7667,76.7%,7.5964,-16.829,0.0,True
greenhouse_gas_total_kt,1,1000,38987.7354,31443.1524,0.6568,65.7%,37369.686,1.807,0.0708,False
greenhouse_gas_total_kt,3,1000,37658.4172,30386.5434,0.6918,69.2%,45645.3704,-9.186,0.0,True
greenhouse_gas_total_kt,5,1000,35761.9515,28515.0771,0.7167,71.7%,56649.8719,-18.114,0.0,True
greenhouse_gas_total_kt,10,1000,31009.2191,24755.2962,0.7736,77.4%,86190.2304,-16.377,0.0,True
energy_use_per_capita,1,1000,379.1533,311.6153,0.6997,70.0%,344.4867,4.016,0.0001,False
energy_use_per_capita,3,1000,344.2571,276.7085,0.6766,67.7%,419.7776,-8.974,0.0,True
energy_use_per_capita,5,1000,343.1565,276.7607,0.7436,74.4%,521.9815,-16.885,0.0,True
energy_use_per_capita,10,1000,286.9033,227.9,0.7865,78.6%,790.1944,-16.62,0.0,True
protected_area_pct,1,1000,2.2833,1.8343,0.6929,69.3%,2.0717,3.926,0.0001,False
protected_area_pct,3,1000,2.1887,1.7745,0.7184,71.8%,2.5304,-6.776,0.0,True
protected_area_pct,5,1000,1.9415,1.5542,0.6901,69.0%,3.1944,-18.486,0.0,True
protected_area_pct,10,1000,1.7423,1.3847,0.7702,77.0%,4.8469,-16.654,0.0,True
