target_indicator,horizon_years,eval_mode,sample_count,usa_mean_actual,usa_mae,usa_rmse,mae_relative_pct
co2_emissions_per_capita,+1 Year(s),5-Fold CV (USA),25,9.3227,0.7779,0.9164,8.3%
co2_emissions_per_capita,+3 Year(s),5-Fold CV (USA),25,9.6953,0.7961,0.9062,8.2%
co2_emissions_per_capita,+5 Year(s),5-Fold CV (USA),25,10.0284,0.6922,0.8495,6.9%
co2_emissions_per_capita,+10 Year(s),5-Fold CV (USA),25,10.7027,0.6045,0.7408,5.6%
temp_anomaly_celsius,+1 Year(s),5-Fold CV (USA),25,0.8628,0.1488,0.1648,17.2%
temp_anomaly_celsius,+3 Year(s),5-Fold CV (USA),25,0.8989,0.1238,0.1512,13.8%
temp_anomaly_celsius,+5 Year(s),5-Fold CV (USA),25,0.9353,0.1191,0.1463,12.7%
temp_anomaly_celsius,+10 Year(s),5-Fold CV (USA),25,1.0071,0.0967,0.123,9.6%
forest_area_pct_land,+1 Year(s),5-Fold CV (USA),25,48.6221,3.7211,4.8115,7.7%
forest_area_pct_land,+3 Year(s),5-Fold CV (USA),25,50.391,3.5429,4.2705,7.0%
forest_area_pct_land,+5 Year(s),5-Fold CV (USA),25,51.9782,4.0141,4.7338,7.7%
forest_area_pct_land,+10 Year(s),5-Fold CV (USA),25,54.5626,3.3505,4.2511,6.1%
floods_count,+1 Year(s),5-Fold CV (USA),25,3.92,1.7347,2.0378,44.3%
floods_count,+3 Year(s),5-Fold CV (USA),25,4.28,1.7597,2.0991,41.1%
floods_count,+5 Year(s),5-Fold CV (USA),25,4.28,1.8432,2.1386,43.1%
floods_count,+10 Year(s),5-Fold CV (USA),25,5.0,1.8904,2.2253,37.8%
droughts_count,+1 Year(s),5-Fold CV (USA),25,2.24,1.236,1.4649,55.2%
droughts_count,+3 Year(s),5-Fold CV (USA),25,2.44,1.3557,1.5605,55.6%
droughts_count,+5 Year(s),5-Fold CV (USA),25,2.48,1.414,1.6361,57.0%
droughts_count,+10 Year(s),5-Fold CV (USA),25,3.0,1.4808,1.7855,49.4%
wildfires_count,+1 Year(s),5-Fold CV (USA),25,2.8,1.2562,1.5146,44.9%
wildfires_count,+3 Year(s),5-Fold CV (USA),25,2.84,1.321,1.6243,46.5%
wildfires_count,+5 Year(s),5-Fold CV (USA),25,2.88,1.2971,1.5322,45.0%
wildfires_count,+10 Year(s),5-Fold CV (USA),25,3.2,1.4023,1.6618,43.8%
extreme_temp_count,+1 Year(s),5-Fold CV (USA),25,2.68,1.3619,1.7769,50.8%
extreme_temp_count,+3 Year(s),5-Fold CV (USA),25,2.56,1.1032,1.4316,43.1%
extreme_temp_count,+5 Year(s),5-Fold CV (USA),25,2.6,1.0429,1.2709,40.1%
extreme_temp_count,+10 Year(s),5-Fold CV (USA),25,2.52,1.0915,1.3752,43.3%
storms_count,+1 Year(s),5-Fold CV (USA),25,5.76,1.9448,2.62,33.8%
storms_count,+3 Year(s),5-Fold CV (USA),25,6.36,2.185,2.8193,34.4%
storms_count,+5 Year(s),5-Fold CV (USA),25,6.48,2.3138,2.8308,35.7%
storms_count,+10 Year(s),5-Fold CV (USA),25,7.24,2.4803,3.1134,34.3%
disaster_economic_damage_usd,+1 Year(s),5-Fold CV (USA),25,393072.2399,364983.8981,425299.8497,92.9%
disaster_economic_damage_usd,+3 Year(s),5-Fold CV (USA),25,370557.4105,378603.077,428340.1718,102.2%
disaster_economic_damage_usd,+5 Year(s),5-Fold CV (USA),25,402483.2161,339070.891,413426.0813,84.2%
disaster_economic_damage_usd,+10 Year(s),5-Fold CV (USA),25,497890.784,391657.1055,440059.0499,78.7%
renewable_energy_pct_share,+1 Year(s),5-Fold CV (USA),25,40.4704,4.0339,4.703,10.0%
renewable_energy_pct_share,+3 Year(s),5-Fold CV (USA),25,42.0117,4.2437,4.8567,10.1%
renewable_energy_pct_share,+5 Year(s),5-Fold CV (USA),25,43.4658,4.0388,4.594,9.3%
renewable_energy_pct_share,+10 Year(s),5-Fold CV (USA),25,45.6921,3.0871,3.7564,6.8%
greenhouse_gas_total_kt,+1 Year(s),5-Fold CV (USA),25,392239.9957,42170.5281,49257.1469,10.8%
greenhouse_gas_total_kt,+3 Year(s),5-Fold CV (USA),25,407040.2829,39424.1631,47819.483,9.7%
greenhouse_gas_total_kt,+5 Year(s),5-Fold CV (USA),25,415753.7125,35021.3852,41360.1212,8.4%
greenhouse_gas_total_kt,+10 Year(s),5-Fold CV (USA),25,444926.967,27823.5418,33459.0463,6.3%
energy_use_per_capita,+1 Year(s),5-Fold CV (USA),25,4078.9075,518.8,565.8987,12.7%
energy_use_per_capita,+3 Year(s),5-Fold CV (USA),25,4178.5728,419.5511,474.6322,10.0%
energy_use_per_capita,+5 Year(s),5-Fold CV (USA),25,4277.3633,387.3314,448.4885,9.1%
energy_use_per_capita,+10 Year(s),5-Fold CV (USA),25,4480.7031,297.3497,371.2459,6.6%
protected_area_pct,+1 Year(s),5-Fold CV (USA),25,23.7595,2.3722,3.0365,10.0%
protected_area_pct,+3 Year(s),5-Fold CV (USA),25,24.5899,2.2895,2.7965,9.3%
protected_area_pct,+5 Year(s),5-Fold CV (USA),25,25.4394,2.0326,2.4846,8.0%
protected_area_pct,+10 Year(s),5-Fold CV (USA),25,27.1458,1.8789,2.2772,6.9%
