iso3,timestamp,psychology_trust,psychology_fear,psychology_optimism,psychology_nationalism,psychology_social_cohesion,psychology_confidence,society_education,society_urbanization,society_population,society_age,society_religion,society_healthcare,society_migration
AGO,1995-01-01,7.11,82.73,42.0,28.46,6.51,6.61,15.34,5.04,73.14,6.92,19.17,24.86,100.0
AGO,1995-02-01,7.57,82.57,42.17,28.5,6.15,6.19,15.37,4.94,73.09,6.9,19.1,24.88,100.0
AGO,1995-03-01,7.44,82.7,42.23,28.52,5.95,6.35,15.49,5.02,73.18,6.9,19.21,24.93,99.93
AGO,1995-04-01,7.59,82.5,42.31,28.9,6.35,6.04,15.49,4.95,73.16,6.88,19.24,25.08,99.98
AGO,1995-05-01,7.71,82.42,41.82,28.16,6.14,5.91,15.41,5.03,73.23,6.95,19.16,25.15,99.86
AGO,1995-06-01,7.62,83.04,42.09,29.05,6.08,6.14,15.55,4.95,73.16,6.89,19.22,25.25,99.89
AGO,1995-07-01,7.86,82.85,42.33,28.09,6.09,6.51,15.56,5.03,73.22,6.83,19.14,25.42,99.96
AGO,1995-08-01,7.53,83.05,41.83,28.36,6.33,5.56,15.55,4.97,73.26,6.96,19.19,25.41,100.0
AGO,1995-09-01,7.34,82.28,42.29,28.71,5.65,6.55,15.62,4.99,73.21,6.85,19.12,25.59,99.93
AGO,1995-10-01,8.02,82.27,41.82,28.43,6.03,6.34,15.64,5.0,73.35,6.78,19.16,25.63,100.0
AGO,1995-11-01,7.68,83.14,42.27,28.71,6.24,6.39,15.72,5.01,73.21,6.85,19.1,25.71,99.95
AGO,1995-12-01,7.95,82.65,42.25,28.46,5.88,5.6,15.65,4.97,73.28,6.9,19.1,25.82,99.98
AGO,1996-01-01,7.46,82.22,42.1,28.66,6.41,6.49,15.72,5.05,73.29,6.93,19.16,25.85,100.0
AGO,1996-02-01,8.32,82.71,42.21,28.5,5.91,6.22,15.69,4.86,73.3,6.94,19.22,25.94,99.98
AGO,1996-03-01,7.64,82.32,42.12,28.12,6.32,6.07,15.83,5.0,73.33,6.89,19.26,25.89,100.0
AGO,1996-04-01,7.22,82.25,42.35,28.15,6.41,6.25,15.81,5.08,73.25,6.79,19.22,25.88,99.94
AGO,1996-05-01,7.46,82.88,42.29,28.42,6.42,6.14,15.86,5.03,73.43,6.82,19.24,25.89,100.0
AGO,1996-06-01,6.9,82.79,41.75,28.72,6.03,6.99,15.92,5.03,73.38,6.82,19.21,25.96,100.0
AGO,1996-07-01,7.93,82.58,41.96,28.48,6.47,6.13,15.89,4.96,73.36,6.84,19.14,25.8,100.0
AGO,1996-08-01,8.03,82.93,42.05,28.47,6.17,6.24,15.94,5.08,73.46,6.81,19.17,25.92,100.0
AGO,1996-09-01,7.96,82.93,42.27,28.53,5.98,5.72,15.88,5.02,73.47,6.85,19.24,25.83,99.97
AGO,1996-10-01,7.25,82.92,41.86,28.46,6.32,5.8,16.01,5.02,73.36,6.83,19.19,25.86,99.95
AGO,1996-11-01,7.33,82.53,42.2,28.57,5.83,6.35,16.03,5.02,73.52,6.78,19.17,25.81,99.91
AGO,1996-12-01,7.32,82.95,42.37,28.37,6.15,6.25,16.01,5.01,73.41,6.8,19.18,25.89,100.0
AGO,1997-01-01,8.1,82.72,41.91,27.91,6.65,6.03,16.08,4.99,73.43,6.79,19.13,25.99,99.99
AGO,1997-02-01,7.57,82.34,42.25,28.38,6.9,6.61,16.03,5.05,73.62,6.75,19.26,25.73,99.99
AGO,1997-03-01,7.33,82.52,42.54,28.84,6.1,6.15,16.13,5.08,73.59,6.77,19.13,25.55,99.94
AGO,1997-04-01,7.57,82.91,43.03,28.8,6.43,5.88,16.0,4.99,73.5,6.76,19.13,25.37,100.0
AGO,1997-05-01,7.61,82.61,43.0,28.35,6.42,5.76,16.17,5.01,73.52,6.76,19.21,25.15,99.99
AGO,1997-06-01,8.06,82.41,43.46,28.27,6.38,6.39,16.2,5.01,73.54,6.82,19.08,24.89,99.97
AGO,1997-07-01,7.72,83.2,43.93,28.25,6.12,6.08,16.22,5.02,73.56,6.76,19.2,24.8,100.0
AGO,1997-08-01,7.27,83.47,44.26,28.7,6.26,6.14,16.23,4.99,73.55,6.76,19.12,24.52,99.98
AGO,1997-09-01,8.01,82.54,44.72,28.7,6.13,5.92,16.3,5.03,73.56,6.72,19.19,24.29,100.0
AGO,1997-10-01,7.55,82.97,44.95,28.89,5.8,6.46,16.4,4.95,73.61,6.76,19.2,24.13,100.0
AGO,1997-11-01,7.39,82.66,45.25,28.47,6.06,6.17,16.37,4.99,73.6,6.72,19.2,24.11,100.0
AGO,1997-12-01,7.94,82.49,45.35,28.48,6.65,5.68,16.38,5.0,73.66,6.73,19.22,23.81,99.9
AGO,1998-01-01,7.45,83.08,46.32,28.67,6.44,5.89,16.38,5.01,73.61,6.74,19.13,23.56,99.92
AGO,1998-02-01,7.56,82.95,45.43,28.28,6.25,6.1,16.37,4.99,73.64,6.7,19.07,23.86,100.0
AGO,1998-03-01,7.52,82.46,45.97,28.38,6.65,6.3,16.49,5.01,73.66,6.75,19.22,24.07,100.0
AGO,1998-04-01,7.58,82.63,45.71,28.78,6.98,5.96,16.42,5.02,73.65,6.59,19.06,24.31,100.0
AGO,1998-05-01,7.58,83.19,46.05,28.34,5.79,6.05,16.54,4.99,73.73,6.79,19.16,24.56,100.0
