timestamp,goldstein_score_mean,avg_tone_mean,event_count_total,verbal_coop_count,material_coop_count,verbal_conflict_count,material_conflict_count,protest_count,country_iso3,conflict_cooperation_ratio,conflict_intensity_pct
2024-01-07,0.3350000000000001,-2.252804410047137,18,10,2,2,4,0,AFG,0.5384615384615384,0.33333314814825105
2024-01-14,-2.088888888888889,-5.27700228892616,11,4,0,7,0,0,AFG,1.6,0.6363630578517656
2023-12-17,1.4,-3.78637303227858,2,2,0,0,0,0,AFR,0.3333333333333333,0.0
2023-12-24,,,0,0,0,0,0,0,AFR,1.0,0.0
2023-12-31,-2.0,-7.421875,1,0,0,1,0,0,AFR,2.0,0.9999900000999989
2024-01-07,-0.8014728327228328,-3.6518215229427153,69,29,10,20,10,0,AFR,0.775,0.434782545683689
2024-01-14,0.6463581360596286,-2.9081378074039783,173,107,21,33,12,1,AFR,0.35658914728682173,0.26011559190083283
2024-01-07,7.0,4.26470588235294,1,1,0,0,0,0,AGO,0.5,0.0
2024-01-14,5.0,2.26824457593689,9,0,9,0,0,0,AGO,0.1,0.0
2024-01-07,-10.0,-1.24326564442602,2,0,0,0,2,0,ALB,3.0,0.9999950000249999
2024-01-14,-2.0,-0.26666666666666,2,0,0,2,0,0,ALB,3.0,0.9999950000249999
2023-12-17,1.0,-2.9038112522686,1,1,0,0,0,0,ARE,0.5,0.0
2023-12-24,,,0,0,0,0,0,0,ARE,1.0,0.0
2023-12-31,,,0,0,0,0,0,0,ARE,1.0,0.0
2024-01-07,0.339047619047619,1.1198172166449765,23,18,0,3,2,1,ARE,0.3157894736842105,0.21739120982990878
2024-01-14,3.5633333333333335,-1.5268563484752722,51,38,12,1,0,0,ARE,0.0392156862745098,0.01960783929258053
2024-01-07,3.6666666666666665,1.13513513513513,3,1,2,0,0,0,ARG,0.25,0.0
2024-01-14,2.995,-0.6869642922854451,8,7,1,0,0,0,ARG,0.1111111111111111,0.0
2024-01-07,1.2837037037037036,-0.80799666099429,23,14,3,1,5,0,ARM,0.3888888888888889,0.26086945179589055
2024-01-14,2.3514285714285714,-0.33853662634657056,19,16,0,1,2,0,ARM,0.23529411764705882,0.15789465373965592
2024-01-14,8.0,6.06060606060606,2,2,0,0,0,0,ATG,0.3333333333333333,0.0
2023-01-08,-2.0,-0.46838407494145,1,0,0,1,0,0,AUS,2.0,0.9999900000999989
2023-01-15,-0.4,-4.0,1,1,0,0,0,0,AUS,0.5,0.0
2023-01-22,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-01-29,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-02-05,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-02-12,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-02-19,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-02-26,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-03-05,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-03-12,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-03-19,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-03-26,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-04-02,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-04-09,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-04-16,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-04-23,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-04-30,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-05-07,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-05-14,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-05-21,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-05-28,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-06-04,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-06-11,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-06-18,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-06-25,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-07-02,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-07-09,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-07-16,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-07-23,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-07-30,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-08-06,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-08-13,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-08-20,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-08-27,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-09-03,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-09-10,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-09-17,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-09-24,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-10-01,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-10-08,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-10-15,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-10-22,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-10-29,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-11-05,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-11-12,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-11-19,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-11-26,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-12-03,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-12-10,-7.2,-3.77002827521207,2,0,0,0,2,0,AUS,3.0,0.9999950000249999
2023-12-17,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-12-24,,,0,0,0,0,0,0,AUS,1.0,0.0
2023-12-31,,,0,0,0,0,0,0,AUS,1.0,0.0
2024-01-07,1.1326448193278553,-2.865998422685225,162,114,19,18,11,1,AUS,0.22388059701492538,0.17901233462886823
2024-01-14,1.2097985494986994,-0.8555514120458267,202,142,20,24,16,0,AUS,0.25153374233128833,0.198019792177238
2024-01-07,-5.333333333333333,-0.6321210999573568,3,1,0,0,2,0,AUT,1.5,0.6666644444518518
